Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000592,false,Rx,6,8,53,57,50,20,50,2D,43,4E,
177499865,00000611,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
177633225,00000613,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
181046490,00000628,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
182189751,0000062D,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
182601988,00000631,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
183090855,00000633,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
183124537,00000635,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
183748443,00000637,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
203903826,00000698,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
207023791,000006AD,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
210393459,000006CB,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
212483852,000006E1,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
216633378,0000070B,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
221646667,0000073B,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
221843930,0000073E,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
233266001,00000700,false,Rx,3,8,53,57,50,20,50,2D,43,4E,
236917127,000007BB,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
237415926,000007BE,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
0,000007C4,false,Rx,6,8,53,57,50,20,50,2D,43,4E,
239340057,000007CB,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
239867396,000007CF,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
0,000007D0,false,Rx,6,8,53,57,50,20,50,2D,43,4E,
0,000007D4,false,Rx,6,8,53,57,50,20,50,2D,43,4E,
241091138,000007D9,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
241415865,000007DA,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
243677729,000007EA,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
244026707,000007EB,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
244181713,000007EC,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
244207753,000007ED,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
244553016,000007EE,false,Rx,1,8,53,57,50,20,50,2D,43,4E,
246281470,000007F9,false,Rx,1,8,53,57,50,20,50,2D,43,4E,

