Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4311092774,00000130,false,Rx,0,8,02,80,0D,7D,00,01,0F,FB,
4311093019,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4311102769,00000130,false,Rx,0,8,F6,7F,0F,7D,00,01,00,5D,
4311103013,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4311112775,00000130,false,Rx,0,8,03,80,19,7D,00,01,01,5B,
4311113009,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4311122780,00000130,false,Rx,0,8,0B,80,1B,7D,00,01,02,7A,
4311123025,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4311132775,00000130,false,Rx,0,8,08,80,12,7D,00,01,03,9D,
4311133011,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4311142633,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4311142887,00000130,false,Rx,0,8,05,80,0E,7D,00,01,04,04,
4311143127,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4311143354,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4311152769,00000130,false,Rx,0,8,04,80,11,7D,00,01,05,D6,
4311153005,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4311162764,00000130,false,Rx,0,8,0A,80,0E,7D,00,01,06,62,
4311163000,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4311172770,00000130,false,Rx,0,8,11,80,20,7D,00,01,07,24,
4311173005,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4311182764,00000130,false,Rx,0,8,15,80,2C,7D,00,01,08,34,
4311182999,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4311192779,00000130,false,Rx,0,8,13,80,2A,7D,00,01,09,9B,
4311193014,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4311202774,00000130,false,Rx,0,8,09,80,34,7D,00,01,0A,95,
4311203009,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4311212914,00000130,false,Rx,0,8,09,80,27,7D,00,01,0B,D8,
4311213159,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4311222764,00000130,false,Rx,0,8,07,80,23,7D,00,01,0C,3F,
4311223010,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4311232769,00000130,false,Rx,0,8,09,80,27,7D,00,01,0D,96,
4311233004,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4311242638,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4311242873,00000130,false,Rx,0,8,00,80,2D,7D,00,01,0E,9D,
4311243111,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4311243349,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4311252774,00000130,false,Rx,0,8,FF,7F,2B,7D,00,01,0F,1D,
4311253009,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4311262769,00000130,false,Rx,0,8,06,80,21,7D,00,01,00,2A,
