Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4302977365,00000130,false,Rx,0,8,0E,80,2F,7D,00,01,0D,6F,
4302977599,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4302987215,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4302987457,00000130,false,Rx,0,8,17,80,1A,7D,00,01,0E,8E,
4302987697,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4302987926,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4302997348,00000130,false,Rx,0,8,18,80,0C,7D,00,01,0F,40,
4302997593,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4303007352,00000130,false,Rx,0,8,15,80,05,7D,00,01,00,00,
4303007596,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4303017345,00000130,false,Rx,0,8,1C,80,05,7D,00,01,01,92,
4303017590,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4303027350,00000130,false,Rx,0,8,11,80,15,7D,00,01,02,BD,
4303027584,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4303037365,00000130,false,Rx,0,8,02,80,10,7D,00,01,03,21,
4303037599,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4303047349,00000130,false,Rx,0,8,04,80,03,7D,00,01,04,F1,
4303047594,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4303057355,00000130,false,Rx,0,8,06,80,17,7D,00,01,05,0D,
4303057589,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4303067370,00000130,false,Rx,0,8,0D,80,27,7D,00,01,06,30,
4303067604,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4303077355,00000130,false,Rx,0,8,18,80,37,7D,00,01,07,4E,
4303077589,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4303087215,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4303087457,00000130,false,Rx,0,8,18,80,28,7D,00,01,08,67,
