Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4336389038,00000130,false,Rx,0,8,14,80,1A,7D,00,01,03,E8,
4336389274,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4336398878,00000130,false,Rx,0,8,0C,80,1F,7D,00,01,04,0F,
4336399112,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4336408905,00000130,false,Rx,0,8,1A,80,1F,7D,00,01,05,78,
4336409139,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4336418744,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4336418986,00000130,false,Rx,0,8,2A,80,13,7D,00,01,06,4B,
4336419226,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4336419454,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4336428878,00000130,false,Rx,0,8,24,80,0B,7D,00,01,07,CE,
4336429123,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4336438873,00000130,false,Rx,0,8,1B,80,00,7D,00,01,08,36,
4336439117,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4336448868,00000130,false,Rx,0,8,14,80,09,7D,00,01,09,6A,
4336449112,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4336458862,00000130,false,Rx,0,8,0E,80,0E,7D,00,01,0A,97,
4336459108,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4336468878,00000130,false,Rx,0,8,11,80,13,7D,00,01,0B,29,
4336469124,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4336478873,00000130,false,Rx,0,8,1C,80,0F,7D,00,01,0C,B0,
4336479119,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4336488878,00000130,false,Rx,0,8,13,80,20,7D,00,01,0D,4C,
4336489114,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4336498893,00000130,false,Rx,0,8,12,80,2E,7D,00,01,0E,20,
4336499129,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4336508877,00000130,false,Rx,0,8,13,80,24,7D,00,01,0F,C3,
4336509112,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4336518748,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4336518990,00000130,false,Rx,0,8,12,80,14,7D,00,01,00,0A,
4336519230,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4336519468,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4336528883,00000130,false,Rx,0,8,13,80,FC,7C,00,01,01,DD,
4336529118,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4336538867,00000130,false,Rx,0,8,0F,80,13,7D,00,01,02,64,
4336539113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4336548862,00000130,false,Rx,0,8,11,80,26,7D,00,01,03,31,
4336549108,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4336558877,00000130,false,Rx,0,8,19,80,1F,7D,00,01,04,82,
4336559113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4336568883,00000130,false,Rx,0,8,16,80,13,7D,00,01,05,01,
4336569128,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4336578888,00000130,false,Rx,0,8,0E,80,19,7D,00,01,06,EE,
4336579123,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4336589018,00000130,false,Rx,0,8,0C,80,27,7D,00,01,07,70,
4336589262,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4336598876,00000130,false,Rx,0,8,0F,80,29,7D,00,01,08,3A,
4336599121,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4336608881,00000130,false,Rx,0,8,0E,80,16,7D,00,01,09,29,
4336609115,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4336618748,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4336618982,00000130,false,Rx,0,8,0B,80,07,7D,00,01,0A,BE,
4336619220,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4336619458,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4336628874,00000130,false,Rx,0,8,0F,80,09,7D,00,01,0B,DC,
4336629119,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4336638878,00000130,false,Rx,0,8,11,80,15,7D,00,01,0C,1B,
4336639113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4336648874,00000130,false,Rx,0,8,10,80,0D,7D,00,01,0D,C2,
4336649118,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4336658879,00000130,false,Rx,0,8,11,80,0D,7D,00,01,0E,B8,
4336659113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4336668884,00000130,false,Rx,0,8,14,80,09,7D,00,01,0F,24,
4336669128,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4336678889,00000130,false,Rx,0,8,10,80,F8,7C,00,01,00,92,
4336679134,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4336688873,00000130,false,Rx,0,8,11,80,EA,7C,00,01,01,E8,
4336689117,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4336698898,00000130,false,Rx,0,8,0B,80,F9,7C,00,01,02,4E,
4336699132,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4336708881,00000130,false,Rx,0,8,0E,80,17,7D,00,01,03,91,
4336709115,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4336718751,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4336718993,00000130,false,Rx,0,8,0D,80,12,7D,00,01,04,FA,
4336719231,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4336719470,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4336728874,00000130,false,Rx,0,8,07,80,0B,7D,00,01,05,7C,
4336729118,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4336738868,00000130,false,Rx,0,8,16,80,13,7D,00,01,06,26,
4336739113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4336748873,00000130,false,Rx,0,8,21,80,1D,7D,00,01,07,75,
4336749108,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4336758868,00000130,false,Rx,0,8,17,80,1C,7D,00,01,08,A1,
4336759113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4336768883,00000130,false,Rx,0,8,0A,80,0E,7D,00,01,09,D9,
4336769117,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4336778887,00000130,false,Rx,0,8,0C,80,FE,7C,00,01,0A,23,
4336779121,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4336789024,00000130,false,Rx,0,8,14,80,FC,7C,00,01,0B,81,
4336789258,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4336798863,00000130,false,Rx,0,8,17,80,02,7D,00,01,0C,2D,
4336799107,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4336808878,00000130,false,Rx,0,8,1A,80,0C,7D,00,01,0D,C0,
4336809112,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4336818737,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4336818980,00000130,false,Rx,0,8,11,80,03,7D,00,01,0E,AE,
4336819218,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4336819457,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4336828872,00000130,false,Rx,0,8,FE,7F,F5,7C,00,01,0F,99,
4336829116,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4336838875,00000130,false,Rx,0,8,15,80,06,7D,00,01,00,BE,
4336839119,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4336848868,00000130,false,Rx,0,8,04,80,0E,7D,00,01,01,30,
4336849113,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4336858873,00000130,false,Rx,0,8,09,80,FE,7C,00,01,02,FF,
4336859107,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4336868889,00000130,false,Rx,0,8,13,80,03,7D,00,01,03,95,
4336869123,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4336878873,00000130,false,Rx,0,8,02,80,28,7D,00,01,04,2A,
4336879107,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4336888868,00000130,false,Rx,0,8,FC,7F,34,7D,00,01,05,BA,
4336889112,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4336898894,00000130,false,Rx,0,8,10,80,22,7D,00,01,06,B0,
4336899128,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4336908899,00000130,false,Rx,0,8,0F,80,09,7D,00,01,07,40,
