Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4306719678,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4306729427,00000130,false,Rx,0,8,09,80,05,7D,00,01,02,38,
4306729673,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4306739431,00000130,false,Rx,0,8,09,80,0B,7D,00,01,03,33,
4306739667,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4306749426,00000130,false,Rx,0,8,11,80,1A,7D,00,01,04,8F,
4306749673,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4306759453,00000130,false,Rx,0,8,0F,80,24,7D,00,01,05,13,
4306759688,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4306769448,00000130,false,Rx,0,8,0B,80,23,7D,00,01,06,56,
4306769684,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4306779588,00000130,false,Rx,0,8,02,80,17,7D,00,01,07,5E,
4306779823,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4306789428,00000130,false,Rx,0,8,04,80,11,7D,00,01,08,57,
4306789673,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4306799432,00000130,false,Rx,0,8,18,80,18,7D,00,01,09,55,
4306799668,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4306809302,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4306809535,00000130,false,Rx,0,8,1B,80,01,7D,00,01,0A,66,
4306809775,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4306810013,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4306819428,00000130,false,Rx,0,8,15,80,02,7D,00,01,0B,C4,
4306819673,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4306829433,00000130,false,Rx,0,8,0C,80,16,7D,00,01,0C,FA,
4306829678,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4306839428,00000130,false,Rx,0,8,0C,80,14,7D,00,01,0D,33,
4306839663,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4306849433,00000130,false,Rx,0,8,1A,80,05,7D,00,01,0E,FA,
4306849668,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4306859438,00000130,false,Rx,0,8,18,80,0A,7D,00,01,0F,21,
4306859674,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4306869443,00000130,false,Rx,0,8,0F,80,0F,7D,00,01,00,72,
4306869678,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4306879437,00000130,false,Rx,0,8,13,80,1A,7D,00,01,01,5C,
