Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4306786456,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4306796279,00000130,false,Rx,0,8,17,80,0D,7D,00,01,02,F7,
4306796513,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4306806212,00000130,false,Rx,0,8,1F,80,0F,7D,00,01,03,EC,
4306806446,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4306816217,00000130,false,Rx,0,8,1B,80,0A,7D,00,01,04,09,
4306816451,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4306826210,00000130,false,Rx,0,8,14,80,FF,7C,00,01,05,99,
4306826444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4306836079,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4306836312,00000130,false,Rx,0,8,0D,80,05,7D,00,01,06,25,
4306836550,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4306836789,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4306846203,00000130,false,Rx,0,8,0A,80,15,7D,00,01,07,58,
4306846447,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4306856206,00000130,false,Rx,0,8,13,80,02,7D,00,01,08,30,
4306856451,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4306866202,00000130,false,Rx,0,8,13,80,09,7D,00,01,09,E4,
4306866436,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4306876207,00000130,false,Rx,0,8,09,80,14,7D,00,01,0A,54,
4306876451,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4306886212,00000130,false,Rx,0,8,0B,80,05,7D,00,01,0B,77,
4306886457,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4306896206,00000130,false,Rx,0,8,03,80,FF,7C,00,01,0C,5B,
4306896450,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4306906211,00000130,false,Rx,0,8,F9,7F,03,7D,00,01,0D,42,
4306906445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4306916236,00000130,false,Rx,0,8,F8,7F,05,7D,00,01,0E,59,
4306916470,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4306926210,00000130,false,Rx,0,8,FE,7F,11,7D,00,01,0F,CC,
4306926455,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4306936081,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4306936323,00000130,false,Rx,0,8,09,80,2B,7D,00,01,00,D5,
4306936561,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4306936802,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4306946205,00000130,false,Rx,0,8,0D,80,2C,7D,00,01,01,AA,
4306946449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4306956220,00000130,false,Rx,0,8,00,80,23,7D,00,01,02,17,
4306956455,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4306966205,00000130,false,Rx,0,8,FF,7F,22,7D,00,01,03,9C,
4306966449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4306976208,00000130,false,Rx,0,8,08,80,27,7D,00,01,04,3E,
4306976442,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4306986211,00000130,false,Rx,0,8,12,80,1F,7D,00,01,05,AA,
4306986445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4306996349,00000130,false,Rx,0,8,0C,80,04,7D,00,01,06,12,
4306996583,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4307006210,00000130,false,Rx,0,8,02,80,07,7D,00,01,07,B0,
4307006454,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4307016205,00000130,false,Rx,0,8,0A,80,24,7D,00,01,08,A6,
4307016449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4307026199,00000130,false,Rx,0,8,11,80,2E,7D,00,01,09,94,
4307026443,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4307036070,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307036312,00000130,false,Rx,0,8,0D,80,1D,7D,00,01,0A,20,
4307036550,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4307036781,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307046204,00000130,false,Rx,0,8,0D,80,06,7D,00,01,0B,1A,
4307046448,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4307056199,00000130,false,Rx,0,8,13,80,09,7D,00,01,0C,8D,
4307056443,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4307066204,00000130,false,Rx,0,8,15,80,2A,7D,00,01,0D,3C,
4307066438,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4307076197,00000130,false,Rx,0,8,04,80,1B,7D,00,01,0E,BA,
4307076441,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4307086211,00000130,false,Rx,0,8,FE,7F,14,7D,00,01,0F,13,
4307086445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4307096206,00000130,false,Rx,0,8,F9,7F,27,7D,00,01,00,B7,
4307096450,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4307106201,00000130,false,Rx,0,8,F4,7F,1D,7D,00,01,01,C0,
4307106445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4307116226,00000130,false,Rx,0,8,F4,7F,18,7D,00,01,02,38,
4307116460,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4307126200,00000130,false,Rx,0,8,FE,7F,14,7D,00,01,03,8F,
4307126445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4307136071,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307136314,00000130,false,Rx,0,8,0B,80,19,7D,00,01,04,E0,
4307136553,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4307136792,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307146206,00000130,false,Rx,0,8,15,80,0E,7D,00,01,05,A0,
4307146452,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4307156200,00000130,false,Rx,0,8,16,80,1D,7D,00,01,06,30,
4307156446,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4307166205,00000130,false,Rx,0,8,10,80,2D,7D,00,01,07,D1,
4307166441,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4307176210,00000130,false,Rx,0,8,02,80,0E,7D,00,01,08,16,
4307176446,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4307186204,00000130,false,Rx,0,8,FF,7F,F8,7C,00,01,09,22,
4307186449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4307196355,00000130,false,Rx,0,8,FF,7F,F9,7C,00,01,0A,6F,
4307196589,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4307206203,00000130,false,Rx,0,8,FF,7F,08,7D,00,01,0B,16,
4307206448,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4307216217,00000130,false,Rx,0,8,FE,7F,03,7D,00,01,0C,D1,
4307216452,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4307226232,00000130,false,Rx,0,8,04,80,0D,7D,00,01,0D,12,
4307226477,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4307236080,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307236324,00000130,false,Rx,0,8,0A,80,09,7D,00,01,0E,81,
4307236562,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4307236791,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307246214,00000130,false,Rx,0,8,0D,80,03,7D,00,01,0F,B1,
4307246450,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4307256209,00000130,false,Rx,0,8,16,80,0C,7D,00,01,00,FA,
4307256455,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4307266204,00000130,false,Rx,0,8,15,80,09,7D,00,01,01,DF,
4307266449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4307276210,00000130,false,Rx,0,8,16,80,09,7D,00,01,02,1F,
4307276445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4307286215,00000130,false,Rx,0,8,14,80,1A,7D,00,01,03,E8,
4307286460,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4307296210,00000130,false,Rx,0,8,07,80,08,7D,00,01,04,DF,
4307296454,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4307306205,00000130,false,Rx,0,8,02,80,17,7D,00,01,05,64,
4307306439,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4307316231,00000130,false,Rx,0,8,FE,7F,1C,7D,00,01,06,91,
4307316465,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4307326205,00000130,false,Rx,0,8,FE,7F,07,7D,00,01,07,AB,
4307326449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4307336074,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307336318,00000130,false,Rx,0,8,07,80,05,7D,00,01,08,EB,
4307336556,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4307336785,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307346200,00000130,false,Rx,0,8,02,80,17,7D,00,01,09,F8,
4307346444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4307356205,00000130,false,Rx,0,8,09,80,1E,7D,00,01,0A,F7,
4307356439,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4307366200,00000130,false,Rx,0,8,14,80,27,7D,00,01,0B,87,
4307366434,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4307376194,00000130,false,Rx,0,8,14,80,27,7D,00,01,0C,D4,
4307376439,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4307386209,00000130,false,Rx,0,8,0C,80,1F,7D,00,01,0D,FA,
4307386444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4307396267,00000130,false,Rx,0,8,0B,80,1D,7D,00,01,0E,87,
4307396511,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4307406200,00000130,false,Rx,0,8,0A,80,0C,7D,00,01,0F,43,
4307406444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4307416205,00000130,false,Rx,0,8,02,80,06,7D,00,01,00,89,
4307416449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4307426199,00000130,false,Rx,0,8,FA,7F,0E,7D,00,01,01,91,
4307426444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4307436070,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307436313,00000130,false,Rx,0,8,04,80,02,7D,00,01,02,D5,
4307436551,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4307436781,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307446204,00000130,false,Rx,0,8,0F,80,FA,7C,00,01,03,84,
4307446449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4307456208,00000130,false,Rx,0,8,11,80,0C,7D,00,01,04,00,
4307456442,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4307466201,00000130,false,Rx,0,8,0F,80,13,7D,00,01,05,37,
4307466445,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4307476204,00000130,false,Rx,0,8,0D,80,FE,7C,00,01,06,E2,
4307476438,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,06,EE,
4307486208,00000130,false,Rx,0,8,09,80,F4,7C,00,01,07,35,
4307486452,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,07,F3,
4307496211,00000130,false,Rx,0,8,05,80,FC,7C,00,01,08,42,
4307496456,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,08,48,
4307506207,00000130,false,Rx,0,8,08,80,FE,7C,00,01,09,6D,
4307506441,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4307516232,00000130,false,Rx,0,8,0A,80,07,7D,00,01,0A,E3,
4307516476,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4307526204,00000130,false,Rx,0,8,0C,80,21,7D,00,01,0B,8D,
4307526448,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4307536086,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307536318,00000130,false,Rx,0,8,09,80,27,7D,00,01,0C,8B,
4307536556,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4307536796,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4307546209,00000130,false,Rx,0,8,0F,80,19,7D,00,01,0D,7C,
4307546454,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4307556204,00000130,false,Rx,0,8,09,80,11,7D,00,01,0E,FF,
4307556449,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4307566199,00000130,false,Rx,0,8,0A,80,13,7D,00,01,0F,D1,
4307566443,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4307576202,00000130,false,Rx,0,8,08,80,07,7D,00,01,00,8B,
4307576447,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4307586206,00000130,false,Rx,0,8,02,80,03,7D,00,01,01,4B,
4307586450,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4307596345,00000130,false,Rx,0,8,05,80,02,7D,00,01,02,88,
4307596580,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4307606204,00000130,false,Rx,0,8,08,80,0B,7D,00,01,03,6E,
4307606438,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4307616209,00000130,false,Rx,0,8,05,80,05,7D,00,01,04,CD,
4307616444,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4307626202,00000130,false,Rx,0,8,0A,80,EE,7C,00,01,05,A5,
4307626438,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,05,C9,
4307636071,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4307636304,00000130,false,Rx,0,8,0A,80,F7,7C,00,01,06,71,
