Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4295724687,00000130,false,Rx,0,8,0C,80,19,7D,00,01,09,EF,
4295724921,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,09,55,
4295734713,00000130,false,Rx,0,8,1E,80,0E,7D,00,01,0A,2E,
4295734947,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0A,72,
4295744708,00000130,false,Rx,0,8,24,80,1D,7D,00,01,0B,DD,
4295744942,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0B,6F,
4295754567,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4295754801,00000130,false,Rx,0,8,1C,80,12,7D,00,01,0C,F6,
4295754845,000005A0,false,Rx,1,8,00,00,00,C0,20,77,94,0C,
4295755051,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0C,3C,
4295755279,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4295764687,00000130,false,Rx,0,8,1E,80,04,7D,00,01,0D,DE,
4295764921,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0D,21,
4295774682,00000130,false,Rx,0,8,1D,80,0E,7D,00,01,0E,BD,
4295774926,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0E,06,
4295784687,00000130,false,Rx,0,8,15,80,07,7D,00,01,0F,6F,
4295784921,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,0F,1B,
4295794692,00000130,false,Rx,0,8,04,80,09,7D,00,01,00,26,
4295794936,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,00,A0,
4295804695,00000130,false,Rx,0,8,FF,7F,22,7D,00,01,01,A6,
4295804929,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,01,BD,
4295814833,00000130,false,Rx,0,8,0A,80,25,7D,00,01,02,1E,
4295815067,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,02,9A,
4295824692,00000130,false,Rx,0,8,12,80,1D,7D,00,01,03,30,
4295824937,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,03,87,
4295834698,00000130,false,Rx,0,8,09,80,01,7D,00,01,04,C3,
4295834942,00000140,false,Rx,0,8,FF,FF,01,6C,20,00,04,D4,
4295844702,00000130,false,Rx,0,8,0D,80,00,7D,00,01,05,DD,
