Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5177322,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
5177566,00000130,false,Rx,0,8,17,80,34,7D,00,01,06,B1,
5177804,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,06,87,
5178043,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
5187458,00000130,false,Rx,0,8,17,80,2C,7D,00,01,07,35,
5187692,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,07,9A,
5197453,00000130,false,Rx,0,8,11,80,18,7D,00,01,08,C7,
5197697,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,08,21,
5207448,00000130,false,Rx,0,8,0E,80,19,7D,00,01,09,55,
5207692,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,09,3C,
5217452,00000130,false,Rx,0,8,0C,80,28,7D,00,01,0A,8D,
5217686,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0A,1B,
5227458,00000130,false,Rx,0,8,10,80,23,7D,00,01,0B,5B,
5227702,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0B,06,
5237453,00000130,false,Rx,0,8,FF,7F,27,7D,00,01,0C,F8,
5237697,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0C,55,
5247448,00000130,false,Rx,0,8,03,80,2F,7D,00,01,0D,89,
5247682,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0D,48,
5257473,00000130,false,Rx,0,8,0C,80,24,7D,00,01,0E,3B,
5257708,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0E,6F,
5267458,00000130,false,Rx,0,8,0B,80,19,7D,00,01,0F,2F,
5267693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0F,72,
5277327,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
5277571,00000130,false,Rx,0,8,01,80,09,7D,00,01,00,12,
5277810,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,00,C9,
5278038,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
5287453,00000130,false,Rx,0,8,01,80,0D,7D,00,01,01,BA,
5287698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,01,D4,
5297447,00000130,false,Rx,0,8,0A,80,1D,7D,00,01,02,46,
5297693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,02,F3,
5307452,00000130,false,Rx,0,8,17,80,15,7D,00,01,03,73,
5307688,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,03,EE,
5317447,00000130,false,Rx,0,8,21,80,05,7D,00,01,04,CB,
5317693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,04,BD,
5327453,00000130,false,Rx,0,8,1A,80,FC,7C,00,01,05,26,
5327698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,05,A0,
5337519,00000130,false,Rx,0,8,17,80,F5,7C,00,01,06,FA,
5337755,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,06,87,
5347453,00000130,false,Rx,0,8,12,80,03,7D,00,01,07,BC,
5347698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,07,9A,
5357457,00000130,false,Rx,0,8,0A,80,18,7D,00,01,08,4B,
5357693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,08,21,
5367463,00000130,false,Rx,0,8,04,80,18,7D,00,01,09,57,
5367709,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,09,3C,
5377322,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
5377556,00000130,false,Rx,0,8,0E,80,FA,7C,00,01,0A,2C,
5377794,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0A,1B,
5378032,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
5387447,00000130,false,Rx,0,8,16,80,F7,7C,00,01,0B,F2,
5387693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0B,06,
5397442,00000130,false,Rx,0,8,15,80,12,7D,00,01,0C,79,
5397688,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0C,55,
5407448,00000130,false,Rx,0,8,15,80,10,7D,00,01,0D,B0,
5407683,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0D,48,
5417454,00000130,false,Rx,0,8,1D,80,12,7D,00,01,0E,91,
5417688,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0E,6F,
5427459,00000130,false,Rx,0,8,19,80,1E,7D,00,01,0F,27,
5427693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0F,72,
5437454,00000130,false,Rx,0,8,0D,80,25,7D,00,01,00,AA,
5437698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,00,C9,
5447459,00000130,false,Rx,0,8,0F,80,1B,7D,00,01,01,34,
5447693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,01,D4,
5457485,00000130,false,Rx,0,8,0E,80,15,7D,00,01,02,58,
5457719,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,02,F3,
5467459,00000130,false,Rx,0,8,08,80,23,7D,00,01,03,D8,
5467693,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,03,EE,
5477327,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
5477572,00000130,false,Rx,0,8,08,80,18,7D,00,01,04,6D,
5477810,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,04,BD,
5478048,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
5487464,00000130,false,Rx,0,8,00,80,0B,7D,00,01,05,F2,
5487698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,05,A0,
5497459,00000130,false,Rx,0,8,05,80,12,7D,00,01,06,12,
5497704,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,06,87,
5507453,00000130,false,Rx,0,8,02,80,1E,7D,00,01,07,43,
5507697,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,07,9A,
5517449,00000130,false,Rx,0,8,FB,7F,0F,7D,00,01,08,53,
5517683,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,08,21,
5527453,00000130,false,Rx,0,8,F9,7F,00,7D,00,01,09,88,
5527698,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,09,3C,
5537593,00000130,false,Rx,0,8,08,80,13,7D,00,01,0A,02,
5537838,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0A,1B,
5547454,00000130,false,Rx,0,8,0E,80,14,7D,00,01,0B,C7,
5547688,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0B,06,
5557458,00000130,false,Rx,0,8,01,80,0D,7D,00,01,0C,3B,
5557692,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0C,55,
5567453,00000130,false,Rx,0,8,01,80,0D,7D,00,01,0D,26,
5567687,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0D,48,
5577312,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
5577556,00000130,false,Rx,0,8,12,80,1A,7D,00,01,0E,BA,
5577794,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0E,6F,
5578033,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
5587448,00000130,false,Rx,0,8,19,80,1F,7D,00,01,0F,4D,
5587692,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,0F,72,
5597453,00000130,false,Rx,0,8,02,80,1E,7D,00,01,00,10,
5597697,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,00,C9,
5607447,00000130,false,Rx,0,8,F9,7F,14,7D,00,01,01,3B,
5607681,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,01,D4,
5617442,00000130,false,Rx,0,8,09,80,0E,7D,00,01,02,F1,
5617686,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,02,F3,
5627458,00000130,false,Rx,0,8,11,80,14,7D,00,01,03,CA,
5627692,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,03,EE,
5637453,00000130,false,Rx,0,8,09,80,13,7D,00,01,04,F9,
5637687,00000140,false,Rx,0,8,FF,FF,01,6A,20,00,04,BD,
5647458,00000130,false,Rx,0,8,08,80,18,7D,00,01,05,70,
