Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3794260,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
3794495,000005A0,false,Rx,1,8,00,00,00,C0,24,02,91,0C,
3794517,00000130,false,Rx,0,8,00,80,00,80,22,01,00,E0,
3794745,00000140,false,Rx,0,8,00,80,02,44,20,00,00,94,
3794993,00000495,false,Rx,0,8,00,00,00,00,00,00,00,00,
3804401,00000130,false,Rx,0,8,00,80,00,80,22,01,01,FD,
3804636,00000140,false,Rx,0,8,00,80,02,44,20,00,01,89,
3814427,00000130,false,Rx,0,8,00,80,00,80,22,01,02,DA,
3814671,00000140,false,Rx,0,8,00,80,02,44,20,00,02,AE,
3824433,00000130,false,Rx,0,8,00,80,00,80,22,01,03,C7,
3824667,00000140,false,Rx,0,8,00,80,02,44,20,00,03,B3,
3834428,00000130,false,Rx,0,8,00,80,00,80,22,01,04,94,
3834673,00000140,false,Rx,0,8,00,80,02,44,20,00,04,E0,
3844432,00000130,false,Rx,0,8,00,80,00,80,22,01,05,89,
3844666,00000140,false,Rx,0,8,00,80,02,44,20,00,05,FD,
3854428,00000130,false,Rx,0,8,00,80,00,80,22,01,06,AE,
3854663,00000140,false,Rx,0,8,00,80,02,44,20,00,06,DA,
3864433,00000130,false,Rx,0,8,00,80,00,80,22,01,07,B3,
3864667,00000140,false,Rx,0,8,00,80,02,44,20,00,07,C7,
3874437,00000130,false,Rx,0,8,00,80,00,80,22,01,08,08,
3874671,00000140,false,Rx,0,8,00,80,02,44,20,00,08,7C,
3884421,00000130,false,Rx,0,8,00,80,00,80,22,01,09,15,
3884665,00000140,false,Rx,0,8,00,80,02,44,20,00,09,61,
3894279,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
3894522,00000130,false,Rx,0,8,00,80,00,80,22,01,0A,32,
3894760,00000140,false,Rx,0,8,00,80,02,44,20,00,0A,46,
3894989,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
3904424,00000130,false,Rx,0,8,00,80,00,80,22,01,0B,2F,
3904668,00000140,false,Rx,0,8,00,80,02,44,20,00,0B,5B,
3914427,00000130,false,Rx,0,8,00,80,00,80,22,01,0C,7C,
3914661,00000140,false,Rx,0,8,00,80,02,44,20,00,0C,08,
3924420,00000130,false,Rx,0,8,00,80,00,80,22,01,0D,61,
3924664,00000140,false,Rx,0,8,00,80,02,44,20,00,0D,15,
3934423,00000130,false,Rx,0,8,00,80,00,80,22,01,0E,46,
3934658,00000140,false,Rx,0,8,00,80,02,44,20,00,0E,32,
3944427,00000130,false,Rx,0,8,00,80,00,80,22,01,0F,5B,
3944671,00000140,false,Rx,0,8,00,80,02,44,20,00,0F,2F,
3954433,00000130,false,Rx,0,8,00,80,00,80,22,01,00,E0,
3954677,00000140,false,Rx,0,8,00,80,02,44,20,00,00,94,
3964427,00000130,false,Rx,0,8,00,80,00,80,22,01,01,FD,
3964671,00000140,false,Rx,0,8,00,80,02,44,20,00,01,89,
3974515,00000130,false,Rx,0,8,00,80,00,80,22,01,02,DA,
3974750,00000140,false,Rx,0,8,00,80,02,44,20,00,02,AE,
3984427,00000130,false,Rx,0,8,00,80,00,80,22,01,03,C7,
3984672,00000140,false,Rx,0,8,00,80,02,44,20,00,03,B3,
3994285,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
3994529,00000130,false,Rx,0,8,00,80,00,80,22,01,04,94,
3994767,00000140,false,Rx,0,8,00,80,02,44,20,00,04,E0,
3994996,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4004433,00000130,false,Rx,0,8,00,80,00,80,22,01,05,89,
4004677,00000140,false,Rx,0,8,00,80,02,44,20,00,05,FD,
4014427,00000130,false,Rx,0,8,00,80,00,80,22,01,06,AE,
4014661,00000140,false,Rx,0,8,00,80,02,44,20,00,06,DA,
4024432,00000130,false,Rx,0,8,00,80,00,80,22,01,07,B3,
4024666,00000140,false,Rx,0,8,00,80,02,44,20,00,07,C7,
4034427,00000130,false,Rx,0,8,00,80,00,80,22,01,08,08,
4034672,00000140,false,Rx,0,8,00,80,02,44,20,00,08,7C,
4044432,00000130,false,Rx,0,8,00,80,00,80,22,01,09,15,
4044666,00000140,false,Rx,0,8,00,80,02,44,20,00,09,61,
4054438,00000130,false,Rx,0,8,00,80,00,80,22,01,0A,32,
4054682,00000140,false,Rx,0,8,00,80,02,44,20,00,0A,46,
4064432,00000130,false,Rx,0,8,00,80,00,80,22,01,0B,2F,
4064666,00000140,false,Rx,0,8,00,80,02,44,20,00,0B,5B,
4074437,00000130,false,Rx,0,8,00,80,00,80,22,01,0C,7C,
4074671,00000140,false,Rx,0,8,00,80,02,44,20,00,0C,08,
4084432,00000130,false,Rx,0,8,00,80,00,80,22,01,0D,61,
4084667,00000140,false,Rx,0,8,00,80,02,44,20,00,0D,15,
4094301,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4094545,00000130,false,Rx,0,8,00,80,00,80,22,01,0E,46,
4094784,00000140,false,Rx,0,8,00,80,02,44,20,00,0E,32,
4095022,00000495,false,Rx,0,8,00,00,12,8A,21,69,2C,64,
4104428,00000130,false,Rx,0,8,00,80,00,80,22,01,0F,5B,
4104663,00000140,false,Rx,0,8,00,80,02,44,20,00,0F,2F,
4114432,00000130,false,Rx,0,8,00,80,00,80,22,01,00,E0,
4114667,00000140,false,Rx,0,8,00,80,02,44,20,00,00,94,
4124437,00000130,false,Rx,0,8,00,80,00,80,22,01,01,FD,
4124683,00000140,false,Rx,0,8,00,80,02,44,20,00,01,89,
4134432,00000130,false,Rx,0,8,00,80,00,80,22,01,02,DA,
4134668,00000140,false,Rx,0,8,00,80,02,44,20,00,02,AE,
4144437,00000130,false,Rx,0,8,00,80,00,80,22,01,03,C7,
4144672,00000140,false,Rx,0,8,00,80,02,44,20,00,03,B3,
4154443,00000130,false,Rx,0,8,00,80,00,80,22,01,04,94,
4154678,00000140,false,Rx,0,8,00,80,02,44,20,00,04,E0,
4164437,00000130,false,Rx,0,8,00,80,00,80,22,01,05,89,
4164672,00000140,false,Rx,0,8,00,80,02,44,20,00,05,FD,
4174546,00000130,false,Rx,0,8,00,80,00,80,22,01,06,AE,
4174780,00000140,false,Rx,0,8,00,80,02,44,20,00,06,DA,
4184437,00000130,false,Rx,0,8,00,80,00,80,22,01,07,B3,
4184682,00000140,false,Rx,0,8,00,80,02,44,20,00,07,C7,
4194306,00000500,false,Rx,0,1,0C,00,00,00,00,00,00,00,
4194551,00000130,false,Rx,0,8,00,80,00,80,22,01,08,08,
