Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
0,00000593,false,Rx,0,6,01,00,FF,FF,FF,FF,00,00,
