Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
92386570,00000515,false,Rx,0,8,53,57,50,20,43,2D,43,4E,
93104178,0000051B,false,Rx,0,8,53,57,50,20,43,2D,43,4E,
144127164,00000685,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
144393359,00000686,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
144779215,00000687,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
144908844,00000688,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
145169399,00000689,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
157274344,000006C5,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
157282777,000006C6,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
157313954,000006C7,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
157345266,000006C8,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
157376437,000006C9,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
160933149,000006ED,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
160964341,000006EE,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
160995656,000006EF,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161296702,000006F0,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161430839,000006F1,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161432362,000006F2,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161463594,000006F3,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161494755,000006F4,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161525998,000006F5,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161830932,000006F6,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161965946,000006F7,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
161993990,000006F8,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
162025251,000006F9,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
162056500,000006FA,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
162345497,000006FB,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
162480957,000006FC,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
162524377,000006FE,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
172888081,0000075D,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
176564429,0000077E,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
180214806,0000079D,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
180246037,0000079E,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
184395699,000007BF,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
186444231,000007CC,false,Rx,0,8,53,57,50,20,43,2D,43,4E,
186444245,000007CC,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
186486035,000007CE,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
188003428,000007D8,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
188003449,000007D8,false,Rx,0,8,53,57,50,20,43,2D,43,4E,
188520412,000007DC,false,Rx,1,8,53,57,50,20,43,2D,43,4E,
188520982,000007DC,false,Rx,0,8,53,57,50,20,43,2D,43,4E,
