Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4449839158,00000610,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4449974551,00000612,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4452310664,00000620,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4453906219,0000062C,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4454684532,00000630,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4455319928,00000632,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4455464547,00000634,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4456093695,00000636,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,00000680,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000681,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000682,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000683,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000684,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4476774835,00000697,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4480578280,000006AC,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000006C0,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000006C1,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000006C2,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000006C3,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000006C4,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4484205919,000006CA,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4486688427,000006E0,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000006EC,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000006FD,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
194578484,0000074C,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
195019466,000007A0,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
4489977068,00000703,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
196668414,000007A1,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
198527993,0000071E,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
4494716987,00000733,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4495186984,00000736,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,00000755,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000776,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000795,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,00000796,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
212238862,00000700,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
212768654,00000701,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
4509736345,000007B3,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4510105552,000007B6,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000007B7,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4511830186,000007C3,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000007C4,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
0,000007C6,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4512347051,000007C7,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000007D0,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4513757581,000007D1,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4513906081,000007D2,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
0,000007D4,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4515496938,000007DF,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
220568652,000007DF,false,Rx,3,8,53,57,50,20,44,2D,43,4E,
0,000007DF,false,Rx,6,8,53,57,50,20,44,2D,43,4E,
4515996917,000007E2,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4516026895,000007E3,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4516366015,000007E4,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4516515505,000007E5,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4516526913,000007E6,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
4518086988,000007F1,false,Rx,0,8,53,57,50,20,44,2D,43,4E,
