Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.000433166666667,0,DATA,0x16A,0x8,0x03 0x0C 0xF0 0x00 0x00 0x00 0x3C 0x3C,0x2FC4,NAK
0.001793541666667,1,DATA,0x16A,0x8,0x03 0x0C 0xF0 0x00 0x00 0x00 0x3C 0x3C,0x2FC4,NAK
0.003153916666667,2,DATA,0x16A,0x8,0x03 0x0C 0xF0 0x00 0x00 0x00 0x3C 0x3C,0x2FC4,NAK
0.004514333333333,3,DATA,0x16A,0x8,0x03 0x0C 0xF0 0x00 0x00 0x00 0x3C 0x3C,0x2FC4,NAK
0.006075250000000,4,DATA,0x16A,0x8,0x03 0x0C 0xF0 0x00 0x00 0x00 0x3C 0x3C,0x2FC4,NAK
0.007595666666667,5,DATA,0x12B,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x5C96,NAK
0.009136125000000,6,DATA,0x17A,0x8,0x00 0x00 0x00 0x00 0xC0 0x00 0x00 0x00,0x523C,NAK
0.010676541666667,7,DATA,0x17B,0x8,0x00 0x00 0x20 0x00 0x00 0x00 0x00 0x00,0x6554,NAK
0.012216958333333,8,DATA,0x17D,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x4973,NAK
0.013767416666667,9,DATA,0x15E,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x0D 0x0F,0x3D85,NAK
0.015287833333333,10,DATA,0x17F,0x8,0x00 0x00 0x0C 0x00 0x00 0x03 0x00 0x00,0x46A9,NAK
0.016818291666667,11,DATA,0x19D,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x4D9B,NAK
0.018358708333333,12,DATA,0x1AB,0x8,0xFF 0xFF 0xFF 0xFF 0xFF 0x7E 0x00 0x00,0x678D,NAK
0.019889125000000,13,DATA,0x55C,0x8,0x00 0x00 0x00 0x00 0x00 0x30 0xC0 0x00,0x6D05,NAK
0.021429583333333,14,DATA,0x55D,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0xFF 0x00,0x7274,NAK
0.022960000000000,15,DATA,0x55E,0x8,0x00 0x00 0x00 0x3F 0xC0 0xFF 0x00 0x00,0x533C,NAK
0.024480416666667,16,DATA,0x157,0x8,0xCF 0xFF 0x00 0x00 0x00 0x00 0x00 0x00,0x01DE,NAK
0.026010875000000,17,DATA,0x56A,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x4A4E,NAK
0.027551291666667,18,DATA,0x56B,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x4155,NAK
0.029101708333333,19,DATA,0x56C,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x7014,NAK
0.030502125000000,20,DATA,0x56C,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x7014,NAK
