Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
208200347,000001D4,false,Rx,0,8,00,00,04,00,00,00,00,00,
208201519,000001D5,false,Rx,0,8,14,30,75,30,03,A4,1F,3C,
208202702,000005D8,false,Rx,0,8,31,30,35,30,30,30,30,00,
208204442,00000166,false,Rx,0,8,00,00,00,00,00,00,00,00,
208205681,000001AB,false,Rx,0,8,FF,FF,FF,FF,FF,7E,00,00,
208206937,0000057E,false,Rx,0,8,00,00,00,00,00,00,00,00,
208214346,00000133,false,Rx,0,8,03,FF,00,00,00,00,00,FF,
208215602,0000019D,false,Rx,0,8,00,00,00,00,00,00,00,00,
208224142,0000012B,false,Rx,0,8,00,00,00,00,00,00,00,00,
208225387,0000017D,false,Rx,0,8,00,00,00,00,00,00,00,00,
208244345,0000054E,false,Rx,0,8,00,00,00,00,00,00,00,00,
208245662,00000558,false,Rx,0,8,FF,FF,FF,FF,FF,00,00,00,
208249469,00000440,false,Rx,0,8,4D,02,00,00,00,00,FF,FF,
208254349,0000054D,false,Rx,0,8,00,00,00,00,00,00,00,00,
208255583,00000531,false,Rx,0,8,FF,00,FF,00,00,00,00,00,
208256828,00000557,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,F0,
208258066,0000056D,false,Rx,0,8,00,00,00,00,00,00,00,00,
208264292,0000019F,false,Rx,0,8,00,FF,00,00,00,02,00,00,
208265506,000001CB,false,Rx,0,8,FF,C0,30,FC,00,00,00,00,
208266781,000001E7,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,00,
208268071,0000054F,false,Rx,0,8,00,00,00,00,00,00,00,00,
208274339,00000123,false,Rx,0,8,00,00,00,C0,00,00,00,FF,
208275635,0000057B,false,Rx,0,8,00,00,00,00,00,00,00,00,
208284313,0000057A,false,Rx,0,8,00,00,00,00,00,00,00,00,
208294185,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
208295421,0000017A,false,Rx,0,8,00,00,00,00,C0,00,00,00,
208296613,0000017B,false,Rx,0,8,40,08,28,82,23,00,00,00,
208297852,000001AA,false,Rx,0,8,FF,FF,FF,FF,03,00,00,00,
208314231,0000015E,false,Rx,0,8,00,01,00,00,00,00,01,00,
208315477,00000171,false,Rx,0,8,02,00,00,00,00,00,00,00,
208316690,0000057D,false,Rx,0,8,FF,3F,FF,3F,00,00,06,00,
208317959,00000504,false,Rx,0,8,00,01,00,00,00,00,00,00,
208324225,000001E1,false,Rx,0,8,FF,FF,FF,DF,7F,FF,00,00,
208325461,00000157,false,Rx,0,8,CF,FF,00,00,00,00,00,00,
208326684,000001E2,false,Rx,0,8,FF,FF,FF,00,00,00,00,00,
208327922,0000055C,false,Rx,0,8,00,00,00,00,00,30,C0,00,
208329179,0000055E,false,Rx,0,8,00,00,00,3F,C0,FF,00,00,
208330413,000001D1,false,Rx,0,8,00,00,00,00,00,00,01,00,
208334213,00000173,false,Rx,0,8,C0,38,00,00,0C,F0,00,30,
208335449,0000055D,false,Rx,0,8,00,00,00,00,00,00,FF,00,
208336682,000001E5,false,Rx,0,8,00,0F,FF,FF,F0,00,FF,00,
208337921,0000056A,false,Rx,0,8,00,00,00,00,00,00,00,00,
208339167,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
208340443,000001D0,false,Rx,0,8,00,00,00,00,00,00,00,00,
208341671,000001DA,false,Rx,0,8,01,00,00,10,00,00,00,00,
208342896,000001DF,false,Rx,0,8,FF,FF,00,00,00,80,A0,01,
208344104,000005D2,false,Rx,0,8,00,01,86,A0,00,00,00,00,
208345321,0000016A,false,Rx,0,8,02,04,00,00,00,00,3C,3C,
208346575,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,00,
208350055,000001D2,false,Rx,0,8,1F,E0,FF,1C,1F,3F,00,00,
208351269,0000044D,false,Rx,0,8,55,12,00,00,00,00,FF,FF,
208354349,0000015D,false,Rx,0,8,00,00,00,00,00,00,00,F0,
208355625,0000017F,false,Rx,0,8,00,00,40,00,00,00,00,00,
208364198,00000115,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,0F,
