Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,592,FALSE,Rx,6,8,53,57,50,20,50,2D,43,4E
177499865,611,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
177633225,613,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
181046490,628,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
182189751,0000062D,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
182601988,631,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
183090855,633,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
183124537,635,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
183748443,637,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
203903826,698,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
207023791,000006AD,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
210393459,000006CB,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
212483852,6.00E+01,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
216633378,0000070B,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
221646667,0000073B,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
221843930,0000073E,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
233266001,700,FALSE,Rx,3,8,53,57,50,20,50,2D,43,4E
236917127,000007BB,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
237415926,000007BE,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
0,000007C4,FALSE,Rx,6,8,53,57,50,20,50,2D,43,4E
239340057,000007CB,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
239867396,000007CF,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
0,000007D0,FALSE,Rx,6,8,53,57,50,20,50,2D,43,4E
0,000007D4,FALSE,Rx,6,8,53,57,50,20,50,2D,43,4E
241091138,000007D9,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
241415865,000007DA,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
243677729,000007EA,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
244026707,000007EB,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
244181713,000007EC,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
244207753,000007ED,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
244553016,000007EE,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
246281470,000007F9,FALSE,Rx,1,8,53,57,50,20,50,2D,43,4E
