Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10638810,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
10738814,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
10838805,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
10938795,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11038795,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11138806,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11238800,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11338820,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11438811,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11538810,00000570,false,Rx,0,8,02,00,85,00,00,00,00,02,
11638820,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11739051,00000570,false,Rx,0,8,00,00,85,00,07,01,00,00,
11839038,00000570,false,Rx,0,8,00,07,85,00,0D,03,00,00,
11939090,00000570,false,Rx,0,8,00,0E,85,00,0F,04,00,00,
12039131,00000570,false,Rx,0,8,00,14,85,00,12,06,00,00,
12139068,00000570,false,Rx,0,8,00,1B,85,00,15,07,00,00,
12239063,00000570,false,Rx,0,8,00,20,85,00,19,09,00,00,
12339053,00000570,false,Rx,0,8,00,3E,85,00,1B,09,00,00,
12439044,00000570,false,Rx,0,8,00,42,85,00,1B,07,00,00,
12539044,00000570,false,Rx,0,8,00,42,85,00,1B,06,00,00,
12639254,00000570,false,Rx,0,8,00,49,85,00,1D,05,00,00,
12739256,00000570,false,Rx,0,8,00,5D,85,00,25,06,00,00,
12839246,00000570,false,Rx,0,8,00,6A,85,00,2E,08,00,00,
12939236,00000570,false,Rx,0,8,00,73,85,00,35,0B,00,00,
13039236,00000570,false,Rx,0,8,00,7A,85,00,3B,0E,00,00,
13139226,00000570,false,Rx,0,8,00,7F,85,00,3F,11,00,00,
13239271,00000570,false,Rx,0,8,00,84,85,00,43,14,00,00,
13339262,00000570,false,Rx,0,8,00,88,85,00,47,18,00,00,
13439251,00000570,false,Rx,0,8,00,8B,85,00,4A,1B,00,00,
13539246,00000570,false,Rx,0,8,00,8D,85,00,4D,1E,00,00,
13639298,00000570,false,Rx,0,8,00,90,85,00,4F,20,00,00,
13739237,00000570,false,Rx,0,8,00,92,85,00,51,23,00,00,
13839225,00000570,false,Rx,0,8,00,94,85,00,53,25,00,00,
13939277,00000570,false,Rx,0,8,00,95,85,00,55,28,00,00,
14039267,00000570,false,Rx,0,8,00,97,85,00,56,2A,00,00,
14139256,00000570,false,Rx,0,8,00,98,85,00,58,2C,00,00,
14239364,00000570,false,Rx,0,8,00,99,85,00,59,2E,00,00,
14339359,00000570,false,Rx,0,8,00,9A,85,00,5A,2F,00,00,
14439299,00000570,false,Rx,0,8,00,9A,85,00,5B,31,00,00,
14539343,00000570,false,Rx,0,8,00,9B,85,00,5B,32,00,00,
14639334,00000570,false,Rx,0,8,00,9B,85,00,5C,33,00,00,
14739388,00000570,false,Rx,0,8,00,9B,85,00,5C,34,00,00,
14839327,00000570,false,Rx,0,8,00,9C,85,00,5C,35,00,00,
14939371,00000570,false,Rx,0,8,00,9C,85,00,5D,35,00,00,
15039365,00000570,false,Rx,0,8,00,9D,85,00,5D,36,00,00,
15139303,00000570,false,Rx,0,8,00,9D,85,00,5E,37,00,00,
15239347,00000570,false,Rx,0,8,00,9D,85,00,5E,37,00,00,
