Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5042456,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5151533,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5260861,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5370709,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5479779,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5591147,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5698530,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5808027,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
5917142,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6027698,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6136014,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6245723,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6354680,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6464401,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6573424,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6588035,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
6683050,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6688751,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
6788764,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
6792233,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6888763,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
6901770,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
6988755,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7011034,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7088755,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7120489,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7188756,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7229923,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7288749,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7340198,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7388776,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7448054,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7488767,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7557368,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7588761,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7666483,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7688761,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7777507,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7788764,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7888755,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7894337,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
7988756,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
7995191,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8088777,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8122498,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8188776,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8214332,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8288767,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8323307,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8388767,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8433612,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8488766,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8542467,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8588766,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8651241,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8688787,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8761261,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8788779,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8869878,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8888777,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
8979847,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
8988766,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9088771,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9090969,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9188772,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9197845,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9288774,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9307573,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9388785,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9417018,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9488786,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9528129,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9588777,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9636046,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9688776,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9745469,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9788779,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9869473,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9888777,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
9964898,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
9988797,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10074559,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10088791,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10182498,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10188791,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10288782,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10292080,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10388782,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10401262,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10488782,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10511719,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10588776,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10621743,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10688807,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10729626,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10788791,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10841796,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10888787,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
10948651,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
10988787,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11057846,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11088788,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11166695,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11188786,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11278188,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11288809,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11389247,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11388845,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11488797,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11495557,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11588790,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11631159,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11688787,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11729963,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11788790,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11843525,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11888787,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
11948957,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
11988808,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12058171,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12088811,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12167421,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12188801,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12278321,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12288792,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12385438,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12388791,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12488792,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12495749,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12588795,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12621874,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12688818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12715019,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12788810,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12824620,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12888797,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
12932705,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
12988797,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13042642,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13088797,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13151653,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13188798,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13260802,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13288821,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13374460,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13388818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13480112,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13488807,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13588801,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13599733,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13688808,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13699058,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13788809,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13808978,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13888808,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13917358,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
13988828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14027707,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14088821,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14135970,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14188808,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14245464,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14288811,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14372062,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14388807,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14463941,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14488807,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14573394,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14588833,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14683046,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14688823,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14788816,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14792048,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14888816,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14901717,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
14988816,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15010909,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15088818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15119753,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15188818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15230463,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15288839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15350580,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15388828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15449164,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15488817,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15559036,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15588818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15667517,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15688818,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15777679,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15788819,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15885768,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
15888838,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15988838,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
15995876,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16088829,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16130607,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16188828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16214487,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16288821,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16324405,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16388828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16432925,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16488828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16542572,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16588853,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16651660,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16688839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16761699,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16788831,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16878904,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16888828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
16980521,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
16988829,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17088833,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17098989,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17188854,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17199329,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17288847,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17308899,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17388838,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17417274,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17488839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17528154,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17588839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17635733,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17688828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17745737,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17788839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17884234,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17888859,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
17964714,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
17988849,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
18073707,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
18088849,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
18183032,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
18188838,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
18288840,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
18292931,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
18388838,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
