Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
19035989,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19148042,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19260008,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19360854,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19484310,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19592963,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19693106,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19799671,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
19911989,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20015375,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20127675,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20238438,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20345502,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20457082,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20567156,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20679171,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20784125,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
20896118,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21008397,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21123110,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21251217,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21331306,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21448507,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21548592,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21664677,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21779112,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21880340,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
21906343,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
21992912,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22007061,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22098766,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22107085,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22207074,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22216244,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22307068,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22329872,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22407068,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22449852,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22507068,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22553230,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22607069,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22665953,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22707089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22795254,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22807079,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22877658,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
22907079,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
22985479,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23007069,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23099582,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23107069,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23207069,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23216004,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23307073,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23317178,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23407093,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23437816,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23507084,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23558824,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23607074,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23667373,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23707074,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23775763,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23807075,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23882550,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
23907077,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
23996609,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24007099,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24099869,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24107099,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24207089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24215494,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24307082,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24327448,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24407084,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24431426,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24507085,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24569880,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24607084,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24669920,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24707105,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24778970,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24807098,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24885830,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
24907088,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
24986477,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25007089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25100949,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25107089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25207089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25210423,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25307113,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25319748,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25407109,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25435633,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25507100,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25560326,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25607089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25657228,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25707089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25788478,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25807092,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25886932,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
25907089,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
25989383,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26007120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26107110,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26110643,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26205024,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26207099,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26307103,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26319554,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26407100,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26433599,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26507100,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26539603,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26607120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26641779,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26707120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26752896,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26807113,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26863279,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
26907105,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
26971797,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27007105,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27082024,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27107109,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27189737,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27207109,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27307123,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27348516,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27407115,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27412669,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27507116,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27537124,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27607105,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27634338,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27707105,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27759359,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27807108,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27855309,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
27907131,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
27962800,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28007131,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28063229,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28107120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28173363,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28207120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28307113,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28318047,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28395483,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28407110,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28507110,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28510557,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28607141,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28616112,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28707130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28720886,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28807124,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28841547,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
28907120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
28943566,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29007120,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29078079,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29107114,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29180327,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29207125,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29307140,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29362273,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29396269,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29407130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29504718,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29507130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29607119,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29620207,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29707130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29729914,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29807124,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29827339,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
29907151,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
29942035,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30007141,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30081928,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30107140,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30167809,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30207130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30267768,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30307133,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30383989,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30407131,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30488715,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30507130,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30600780,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30607151,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30707152,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30715646,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30807143,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30850773,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
30907134,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
30931721,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
31007141,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
31035801,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
31107135,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
31150500,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
31207156,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
31271150,00000523,false,Tx,0,8,00,00,00,00,00,00,00,00,
31307158,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
