Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2285196619,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285297335,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285397359,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285497350,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285597339,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285697339,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285797338,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285897344,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2285997366,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286097366,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286197359,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286297350,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286397343,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286497345,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286597355,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286697376,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286797366,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286897360,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2286997350,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2287097350,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2287197359,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2287297629,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
2287397613,00000570,false,Rx,0,8,00,02,85,00,0A,01,00,00,
2287497655,00000570,false,Rx,0,8,00,09,85,00,0D,03,00,00,
2287597604,00000570,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
2287697587,00000570,false,Rx,0,8,00,16,85,00,12,06,00,00,
2287797588,00000570,false,Rx,0,8,00,1D,85,00,16,08,00,00,
2287897572,00000570,false,Rx,0,8,00,26,85,00,19,09,00,00,
2287997623,00000570,false,Rx,0,8,00,40,85,00,1A,08,00,00,
2288097607,00000570,false,Rx,0,8,00,41,85,00,1A,06,00,00,
2288197774,00000570,false,Rx,0,8,00,41,85,00,1A,05,00,00,
2288297763,00000570,false,Rx,0,8,00,4E,85,00,1E,05,00,00,
2288397756,00000570,false,Rx,0,8,00,61,85,00,28,07,00,00,
2288497759,00000570,false,Rx,0,8,00,6D,85,00,30,09,00,00,
2288597800,00000570,false,Rx,0,8,00,75,85,00,36,0C,00,00,
2288697784,00000570,false,Rx,0,8,00,7C,85,00,3B,0F,00,00,
2288797784,00000570,false,Rx,0,8,00,81,85,00,40,12,00,00,
2288897767,00000570,false,Rx,0,8,00,85,85,00,43,15,00,00,
2288997769,00000570,false,Rx,0,8,00,89,85,00,47,18,00,00,
2289097760,00000570,false,Rx,0,8,00,8C,85,00,4A,1B,00,00,
2289197753,00000570,false,Rx,0,8,00,8E,85,00,4C,1E,00,00,
2289297794,00000570,false,Rx,0,8,00,90,85,00,4E,21,00,00,
2289397789,00000570,false,Rx,0,8,00,92,85,00,50,23,00,00,
2289497785,00000570,false,Rx,0,8,00,94,85,00,52,26,00,00,
2289597774,00000570,false,Rx,0,8,00,96,85,00,54,28,00,00,
2289697774,00000570,false,Rx,0,8,00,97,85,00,56,2A,00,00,
2289797763,00000570,false,Rx,0,8,00,98,85,00,57,2C,00,00,
2289897809,00000570,false,Rx,0,8,00,99,85,00,58,2E,00,00,
2289997800,00000570,false,Rx,0,8,00,9B,85,00,5A,2F,00,00,
2290097853,00000570,false,Rx,0,8,00,9B,85,00,5B,31,00,00,
2290197842,00000570,false,Rx,0,8,00,9C,85,00,5B,32,00,00,
2290297893,00000570,false,Rx,0,8,00,9C,85,00,5C,33,00,00,
2290397876,00000570,false,Rx,0,8,00,9D,85,00,5C,34,00,00,
2290497815,00000570,false,Rx,0,8,00,9D,85,00,5C,35,00,00,
2290597867,00000570,false,Rx,0,8,00,9E,85,00,5D,36,00,00,
2290697912,00000570,false,Rx,0,8,00,9E,85,00,5D,36,00,00,
2290797904,00000570,false,Rx,0,8,00,9E,85,00,5D,37,00,00,
2290897846,00000570,false,Rx,0,8,00,9E,85,00,5E,37,00,00,
2290997836,00000570,false,Rx,0,8,00,9F,85,00,5E,38,00,00,
2291097836,00000570,false,Rx,0,8,00,9F,85,00,5E,38,00,00,
2291197877,00000570,false,Rx,0,8,00,9F,85,00,5F,39,00,00,
2291297930,00000570,false,Rx,0,8,00,9F,85,00,5F,3A,00,00,
2291397923,00000570,false,Rx,0,8,00,A0,85,00,5F,3A,00,00,
2291497908,00000570,false,Rx,0,8,00,A0,85,00,5F,3A,00,00,
2291597908,00000570,false,Rx,0,8,00,A0,85,00,60,3B,00,00,
2291697897,00000570,false,Rx,0,8,00,A0,85,00,60,3B,00,00,
2291797888,00000570,false,Rx,0,8,00,A0,85,00,60,3B,00,00,
2291897881,00000570,false,Rx,0,8,00,A0,85,00,60,3C,00,00,
2291997929,00000570,false,Rx,0,8,00,A0,85,00,60,3C,00,00,
