Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
57093571,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57209052,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57316287,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57427957,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57530884,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57635112,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57755010,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57866405,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
57972695,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58087520,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58211571,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58303745,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58409453,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58510501,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58625606,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58729367,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58842377,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
58966914,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59063415,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59178631,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59276603,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59388842,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59493888,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59609662,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59726768,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59835643,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
59966499,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60051950,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60179147,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60290499,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60390889,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60501076,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60617624,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60716885,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60847006,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
60967515,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61076143,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61181524,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61291994,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61391818,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61495669,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61610367,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61722746,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61839621,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
61964941,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
62048572,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
62155755,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357101820,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4357202566,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62271815,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357302555,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62387188,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357402549,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62487995,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357502544,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62601680,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357602555,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62720131,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357702556,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62824428,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357802556,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
62939996,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4357902570,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63042291,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358002571,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63141938,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358102562,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4358202563,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63264157,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358302564,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63381387,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358402565,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63492614,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358502585,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63603804,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358602586,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63723788,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358702576,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63818538,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358802576,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
63935877,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4358902575,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64044734,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359002576,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64156832,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359102576,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4359202597,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64272085,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359302597,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64383100,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359402590,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64476977,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359502586,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64599853,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359602586,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64718858,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359702586,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64809728,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359802607,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
64938991,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4359902611,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
65043093,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4360002602,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
65143920,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4360102593,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
65250629,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
4360202592,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
65357353,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
