Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
287910808,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288011554,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288111547,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288211537,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288311528,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288411533,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288511533,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288611537,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288711559,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288811550,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
288911538,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289011538,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289111539,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289211550,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289311571,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289411564,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289511560,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289611550,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289711550,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289811550,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
289911554,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
290011876,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
290111815,000004E4,false,Rx,0,8,00,02,85,00,09,01,00,00,
290211804,000004E4,false,Rx,0,8,00,09,85,00,0D,03,00,00,
290311804,000004E4,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
290411786,000004E4,false,Rx,0,8,00,16,85,00,12,06,00,00,
290511778,000004E4,false,Rx,0,8,00,1D,85,00,15,07,00,00,
290611778,000004E4,false,Rx,0,8,00,29,85,00,18,09,00,00,
290711819,000004E4,false,Rx,0,8,00,47,85,00,18,07,00,00,
290811818,000004E4,false,Rx,0,8,00,46,85,00,18,05,00,00,
290911978,000004E4,false,Rx,0,8,00,45,85,00,18,03,00,00,
291011969,000004E4,false,Rx,0,8,00,4C,85,00,1A,03,00,00,
291111959,000004E4,false,Rx,0,8,00,55,85,00,1D,02,00,00,
291211953,000004E4,false,Rx,0,8,00,5E,85,00,20,01,00,00,
291311994,000004E4,false,Rx,0,8,00,66,85,00,23,01,00,00,
291411996,000004E4,false,Rx,0,8,00,6D,85,00,25,01,00,00,
291511984,000004E4,false,Rx,0,8,00,73,85,00,28,01,00,00,
291611974,000004E4,false,Rx,0,8,00,78,85,00,2A,01,00,00,
291711974,000004E4,false,Rx,0,8,00,7D,85,00,2B,01,00,00,
291811963,000004E4,false,Rx,0,8,00,81,85,00,2D,01,00,00,
291912009,000004E4,false,Rx,0,8,00,85,85,00,2E,01,00,00,
292012005,000004E4,false,Rx,0,8,00,88,85,00,2F,01,00,00,
292112005,000004E4,false,Rx,0,8,00,8A,85,00,30,01,00,00,
292211984,000004E4,false,Rx,0,8,00,8B,85,00,31,01,00,00,
292311985,000004E4,false,Rx,0,8,00,8C,85,00,31,01,00,00,
292411977,000004E4,false,Rx,0,8,00,8D,85,00,31,01,00,00,
292511974,000004E4,false,Rx,0,8,00,8D,85,00,31,01,00,00,
292612025,000004E4,false,Rx,0,8,00,8C,85,00,31,01,00,00,
292712009,000004E4,false,Rx,0,8,00,8C,85,00,31,01,00,00,
292812010,000004E4,false,Rx,0,8,00,8B,85,00,31,00,00,00,
292912003,000004E4,false,Rx,0,8,00,89,85,00,30,00,00,00,
293011994,000004E4,false,Rx,0,8,00,87,85,00,30,00,00,00,
293111974,000004E4,false,Rx,0,8,00,86,85,00,2F,00,00,00,
293212029,000004E4,false,Rx,0,8,00,85,85,00,2F,00,00,00,
293312032,000004E4,false,Rx,0,8,00,84,85,00,2E,00,00,00,
293412021,000004E4,false,Rx,0,8,00,83,85,00,2E,00,00,00,
293512015,000004E4,false,Rx,0,8,00,83,85,00,2E,00,00,00,
293612005,000004E4,false,Rx,0,8,00,82,85,00,2E,00,00,00,
293711998,000004E4,false,Rx,0,8,00,81,85,00,2D,00,00,00,
293811990,000004E4,false,Rx,0,8,00,80,85,00,2D,00,00,00,
293912042,000004E4,false,Rx,0,8,00,7F,85,00,2C,00,00,00,
294012036,000004E4,false,Rx,0,8,00,7E,85,00,2C,00,00,00,
294112025,000004E4,false,Rx,0,8,00,7D,85,00,2C,00,00,00,
294212020,000004E4,false,Rx,0,8,00,7C,85,00,2B,00,00,00,
294312011,000004E4,false,Rx,0,8,00,7B,85,00,2B,00,00,00,
294412000,000004E4,false,Rx,0,8,00,7A,85,00,2B,00,00,00,
294511992,000004E4,false,Rx,0,8,00,79,85,00,2A,00,00,00,
294612036,000004E4,false,Rx,0,8,00,78,85,00,2A,00,00,00,
294712040,000004E4,false,Rx,0,8,00,77,85,00,2A,00,00,00,
294812031,000004E4,false,Rx,0,8,00,76,85,00,29,00,00,00,
294912021,000004E4,false,Rx,0,8,00,75,85,00,29,00,00,00,
295012011,000004E4,false,Rx,0,8,00,74,85,00,29,00,00,00,
295112011,000004E4,false,Rx,0,8,00,74,85,00,29,00,00,00,
295212056,000004E4,false,Rx,0,8,00,74,85,00,29,00,00,00,
295312046,000004E4,false,Rx,0,8,00,74,85,00,29,00,00,00,
295412046,000004E4,false,Rx,0,8,00,73,85,00,28,00,00,00,
295512046,000004E4,false,Rx,0,8,00,73,85,00,28,00,00,00,
295612025,000004E4,false,Rx,0,8,00,72,85,00,28,00,00,00,
295712017,000004E4,false,Rx,0,8,00,71,85,00,28,00,00,00,
295812067,000004E4,false,Rx,0,8,00,70,85,00,27,00,00,00,
295912067,000004E4,false,Rx,0,8,00,6F,85,00,27,00,00,00,
296012056,000004E4,false,Rx,0,8,00,6F,85,00,27,00,00,00,
296112047,000004E4,false,Rx,0,8,00,6E,85,00,27,00,00,00,
296212037,000004E4,false,Rx,0,8,00,6D,85,00,26,00,00,00,
296312088,000004E4,false,Rx,0,8,02,6B,85,00,25,00,00,01,
296412026,000004E4,false,Rx,0,8,02,5F,85,00,21,00,00,01,
296512067,000004E4,false,Rx,0,8,02,53,85,00,1D,00,00,11,
296612067,000004E4,false,Rx,0,8,02,46,85,00,19,00,00,11,
296712060,000004E4,false,Rx,0,8,02,3A,85,00,15,00,00,11,
296812057,000004E4,false,Rx,0,8,02,2E,85,00,10,00,00,11,
296911633,000004E4,false,Rx,0,8,02,1B,85,00,0A,00,00,11,
297011647,000004E4,false,Rx,0,8,02,02,85,00,01,00,00,11,
297111648,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297211671,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297311663,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297411654,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297511648,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297611647,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297711651,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297811674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
297911674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298011668,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298111658,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298211662,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298311664,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298411664,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,11,
298511684,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
298611673,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
298711674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
298811674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
298911674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299011673,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299111674,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299211698,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299311690,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299411679,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299511679,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299611679,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299711680,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299811701,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
299911701,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300011692,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300111692,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300211695,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300311688,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300411689,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300511713,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300611704,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300711695,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300811695,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
300911694,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301011695,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301111726,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301211715,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301311709,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301411710,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301511702,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301611705,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301711705,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301811729,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
301911720,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302011720,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302111711,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302211722,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302311714,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302411746,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302511739,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302611726,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302711726,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302811731,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
302911731,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303011723,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303111746,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303211746,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303311736,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303411736,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303511737,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303611736,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303711757,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303811756,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
303911746,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304011740,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304111747,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304211746,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304311750,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304411772,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304511766,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304611757,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304711756,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304811751,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
304911751,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305011783,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305111773,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305211762,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305311756,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305411757,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
305511769,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,01,
