Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
137291647,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137392393,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137492387,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137592376,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137692367,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137792377,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137892377,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
137992381,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
138092402,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
138192393,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
138227031,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138292382,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
138365971,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138392392,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
138443704,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138492666,000004E4,false,Rx,0,8,00,00,85,00,05,00,00,00,
138557701,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138592605,000004E4,false,Rx,0,8,00,05,85,00,0B,02,00,00,
138665995,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138692647,000004E4,false,Rx,0,8,00,0C,85,00,0E,04,00,00,
138778457,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138792646,000004E4,false,Rx,0,8,00,13,85,00,10,05,00,00,
138887920,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138892645,000004E4,false,Rx,0,8,00,1A,85,00,14,07,00,00,
138998004,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
138992636,000004E4,false,Rx,0,8,00,20,85,00,17,08,00,00,
139098107,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139092625,000004E4,false,Rx,0,8,00,31,85,00,19,08,00,00,
139192616,000004E4,false,Rx,0,8,00,34,85,00,18,06,00,00,
139213419,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139292615,000004E4,false,Rx,0,8,00,33,85,00,18,04,00,00,
139329411,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139392822,000004E4,false,Rx,0,8,00,33,85,00,18,03,00,00,
139429622,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139492822,000004E4,false,Rx,0,8,00,33,85,00,19,02,00,00,
139551324,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139592811,000004E4,false,Rx,0,8,00,34,85,00,19,02,00,00,
139661113,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139692804,000004E4,false,Rx,0,8,00,34,85,00,19,01,00,00,
139775287,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139792801,000004E4,false,Rx,0,8,00,34,85,00,19,01,00,00,
139892791,000004E4,false,Rx,0,8,00,34,85,00,19,01,00,00,
139906280,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139999761,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
139992785,000004E4,false,Rx,0,8,00,34,85,00,19,00,00,00,
140092827,000004E4,false,Rx,0,8,00,44,85,00,19,00,00,00,
140113415,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140192829,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
140231154,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140292821,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
140346580,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140392812,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
140451367,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140492806,000004E4,false,Rx,0,8,00,47,85,00,19,00,00,00,
140562484,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140592796,000004E4,false,Rx,0,8,00,47,85,00,19,00,00,00,
140673610,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140692849,000004E4,false,Rx,0,8,00,47,85,00,19,00,00,00,
140785390,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140792841,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
140892832,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
140924094,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
140992822,000004E4,false,Rx,0,8,00,48,85,00,19,00,00,00,
141016865,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141092811,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141117555,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141192812,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141233162,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141292863,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141336712,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141392853,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141448954,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141492842,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141564942,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141592842,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
141674712,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141692832,000004E4,false,Rx,0,8,00,49,85,00,1A,00,00,00,
141783062,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141792822,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
141892822,000004E4,false,Rx,0,8,00,49,85,00,1A,00,00,00,
141915934,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
141992864,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142003864,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142092863,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142104140,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142192853,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142221531,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142292843,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142319503,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142392842,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142434764,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142492826,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142549903,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142592826,000004E4,false,Rx,0,8,00,49,85,00,1A,00,00,00,
142653954,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142692880,000004E4,false,Rx,0,8,00,49,85,00,19,00,00,00,
142767754,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142792859,000004E4,false,Rx,0,8,00,49,85,00,1A,00,00,00,
142866893,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142892860,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
142982378,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
142992852,000004E4,false,Rx,0,8,00,4A,85,00,1A,00,00,00,
143090957,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143092852,000004E4,false,Rx,0,8,00,4B,85,00,1A,00,00,00,
143192843,000004E4,false,Rx,0,8,00,4B,85,00,1A,00,00,00,
143204883,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143292884,000004E4,false,Rx,0,8,00,4B,85,00,1A,00,00,00,
143321136,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143392884,000004E4,false,Rx,0,8,00,4C,85,00,1A,00,00,00,
143444530,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143492873,000004E4,false,Rx,0,8,02,4A,85,00,19,00,00,10,
143553001,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143592873,000004E4,false,Rx,0,8,02,40,85,00,16,00,00,10,
143670260,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143692865,000004E4,false,Rx,0,8,02,32,85,00,12,00,00,10,
143782319,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143792853,000004E4,false,Rx,0,8,02,25,85,00,0E,00,00,10,
143892481,000004E4,false,Rx,0,8,02,06,85,00,02,00,00,10,
143914145,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143991099,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
143992491,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144101038,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144092480,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144192471,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144223839,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144292469,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144345245,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144392470,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144455010,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144492474,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144555952,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144592501,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144672771,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144692491,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144781520,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144792490,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144892481,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
144927902,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144988210,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
144992480,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
145099729,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145092480,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
145192511,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
145210878,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145292512,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
145327060,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145392501,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
145442498,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145492732,000004E4,false,Rx,0,8,02,00,85,00,04,00,00,10,
145568702,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145592722,000004E4,false,Rx,0,8,02,04,85,00,0B,02,00,10,
145689900,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145692723,000004E4,false,Rx,0,8,02,0A,85,00,0E,03,00,10,
145799032,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145792758,000004E4,false,Rx,0,8,02,11,85,00,10,05,00,10,
145892759,000004E4,false,Rx,0,8,00,18,85,00,13,06,00,00,
145936897,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
145992760,000004E4,false,Rx,0,8,00,1F,85,00,16,08,00,00,
146006621,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
146092738,000004E4,false,Rx,0,8,00,2D,85,00,19,09,00,00,
146129776,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
146192749,000004E4,false,Rx,0,8,00,34,85,00,19,06,00,00,
146245059,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
146292739,000004E4,false,Rx,0,8,00,33,85,00,18,05,00,00,
146360551,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
146392894,000004E4,false,Rx,0,8,00,33,85,00,19,03,00,00,
146469412,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
146492885,000004E4,false,Rx,0,8,00,35,85,00,1A,02,00,00,
146576753,000004DE,false,Tx,0,8,02,00,00,00,00,00,00,00,
