Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11087278,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11191789,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11297386,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11402062,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11507062,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11612418,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11717616,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11822893,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
11928952,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12034235,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12139683,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12244730,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12348403,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12454576,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12559911,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12660708,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12763902,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12867601,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
12971809,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13074233,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13178402,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13285262,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13389356,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13493385,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13597529,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13702123,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13805920,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
13912200,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14016883,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14121289,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14226009,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14329635,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14433440,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14578803,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14683356,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14788261,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14893704,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
14998706,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15103443,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15208888,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15313427,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15419998,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15524607,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15629194,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15735201,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15840427,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
15945072,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16027340,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16055088,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16128086,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16160197,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16228087,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16265559,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16328076,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16369805,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16428076,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16474367,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16528076,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16578628,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16628076,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16683409,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16728077,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16789527,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16828097,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16892938,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
16928097,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
16997615,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17028086,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17105535,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17128086,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17210192,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17228087,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17314622,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17328087,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17420709,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17428117,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17528107,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17528182,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17628107,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17630241,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17728097,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17731583,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17828101,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17835465,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
17928097,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
17941697,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18028127,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18060281,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18128128,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18165389,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18228118,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18273462,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18328107,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18376502,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18428107,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18483377,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18528107,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18587425,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18628108,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18692701,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18728138,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18822764,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
18828136,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18928123,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
18928626,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19028122,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19034893,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19128123,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19138930,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19228123,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19242122,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19328123,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19346211,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19428143,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19449166,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19528143,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
19578620,000004DE,false,Tx,0,8,00,00,0A,00,0C,00,06,00,
19628133,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
