Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4300917954,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301018700,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301118690,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301218689,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301318681,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301418680,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301518690,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301618710,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301718710,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301818702,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4301918690,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302018690,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302118700,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302218701,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302318722,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302418711,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302518701,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302618701,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302718701,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302818701,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4302918731,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4303018969,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
4303118964,000004E4,false,Rx,0,8,00,02,85,00,09,01,00,00,
4303218963,000004E4,false,Rx,0,8,00,09,85,00,0D,03,00,00,
4303318953,000004E4,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
4303418943,000004E4,false,Rx,0,8,00,16,85,00,12,06,00,00,
4303518934,000004E4,false,Rx,0,8,00,1D,85,00,15,07,00,00,
4303618968,000004E4,false,Rx,0,8,00,29,85,00,18,09,00,00,
4303718975,000004E4,false,Rx,0,8,00,47,85,00,19,07,00,00,
4303818964,000004E4,false,Rx,0,8,00,46,85,00,18,05,00,00,
4303919121,000004E4,false,Rx,0,8,00,46,85,00,18,04,00,00,
4304019111,000004E4,false,Rx,0,8,00,4D,85,00,1A,03,00,00,
4304119110,000004E4,false,Rx,0,8,00,56,85,00,1D,02,00,00,
4304219110,000004E4,false,Rx,0,8,00,5E,85,00,20,02,00,00,
4304319152,000004E4,false,Rx,0,8,00,65,85,00,23,01,00,00,
4304419142,000004E4,false,Rx,0,8,00,6B,85,00,25,01,00,00,
4304519131,000004E4,false,Rx,0,8,00,70,85,00,27,01,00,00,
4304619135,000004E4,false,Rx,0,8,00,74,85,00,28,01,00,00,
4304719131,000004E4,false,Rx,0,8,00,78,85,00,2A,01,00,00,
4304819120,000004E4,false,Rx,0,8,00,7A,85,00,2B,01,00,00,
4304919166,000004E4,false,Rx,0,8,00,7D,85,00,2C,01,00,00,
4305019162,000004E4,false,Rx,0,8,00,7F,85,00,2C,01,00,00,
4305119152,000004E4,false,Rx,0,8,00,81,85,00,2D,01,00,00,
4305219141,000004E4,false,Rx,0,8,00,83,85,00,2E,01,00,00,
4305319132,000004E4,false,Rx,0,8,00,85,85,00,2E,01,00,00,
4305419132,000004E4,false,Rx,0,8,00,87,85,00,2F,01,00,00,
4305519121,000004E4,false,Rx,0,8,00,88,85,00,30,01,00,00,
4305619172,000004E4,false,Rx,0,8,00,89,85,00,30,01,00,00,
4305719162,000004E4,false,Rx,0,8,00,89,85,00,30,01,00,00,
4305819163,000004E4,false,Rx,0,8,00,89,85,00,30,01,00,00,
4305919156,000004E4,false,Rx,0,8,00,8A,85,00,30,01,00,00,
4306019142,000004E4,false,Rx,0,8,00,8A,85,00,30,01,00,00,
4306119142,000004E4,false,Rx,0,8,00,89,85,00,30,01,00,00,
4306219182,000004E4,false,Rx,0,8,00,88,85,00,30,01,00,00,
4306319173,000004E4,false,Rx,0,8,00,87,85,00,2F,01,00,00,
4306419167,000004E4,false,Rx,0,8,00,87,85,00,2F,01,00,00,
4306519167,000004E4,false,Rx,0,8,00,85,85,00,2F,01,00,00,
4306619157,000004E4,false,Rx,0,8,00,84,85,00,2E,01,00,00,
4306719146,000004E4,false,Rx,0,8,00,83,85,00,2E,01,00,00,
4306819147,000004E4,false,Rx,0,8,00,81,85,00,2D,00,00,00,
4306919192,000004E4,false,Rx,0,8,00,80,85,00,2D,00,00,00,
4307019178,000004E4,false,Rx,0,8,02,7B,85,00,2B,00,00,10,
4307119167,000004E4,false,Rx,0,8,02,6C,85,00,26,00,00,10,
4307219168,000004E4,false,Rx,0,8,02,5E,85,00,21,00,00,10,
4307319168,000004E4,false,Rx,0,8,02,50,85,00,1C,00,00,10,
4307419147,000004E4,false,Rx,0,8,02,42,85,00,18,00,00,10,
4307519198,000004E4,false,Rx,0,8,02,36,85,00,13,00,00,10,
4307619198,000004E4,false,Rx,0,8,02,2A,85,00,0F,00,00,10,
4307718783,000004E4,false,Rx,0,8,02,17,85,00,09,00,00,10,
4307818772,000004E4,false,Rx,0,8,02,01,85,00,00,00,00,10,
4307918772,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308018773,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308118773,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308218804,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308318793,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308418784,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308518784,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308618783,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308718784,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308818814,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4308918815,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4309018814,000004E4,false,Rx,0,8,02,00,85,00,00,00,00,10,
4309119084,000004E4,false,Rx,0,8,02,01,85,00,08,01,00,10,
4309219025,000004E4,false,Rx,0,8,02,07,85,00,0C,03,00,10,
4309319022,000004E4,false,Rx,0,8,02,0E,85,00,0F,04,00,10,
4309419011,000004E4,false,Rx,0,8,02,15,85,00,11,06,00,10,
4309519109,000004E4,false,Rx,0,8,02,1B,85,00,14,07,00,10,
4309619053,000004E4,false,Rx,0,8,02,22,85,00,18,09,00,10,
4309719044,000004E4,false,Rx,0,8,02,45,85,00,19,07,00,10,
4309819044,000004E4,false,Rx,0,8,02,45,85,00,18,05,00,10,
4309919032,000004E4,false,Rx,0,8,02,45,85,00,18,04,00,10,
4310019188,000004E4,false,Rx,0,8,02,4A,85,00,19,03,00,10,
4310119189,000004E4,false,Rx,0,8,02,54,85,00,1C,02,00,10,
4310219239,000004E4,false,Rx,0,8,02,5D,85,00,1F,02,00,10,
4310319229,000004E4,false,Rx,0,8,02,64,85,00,22,01,00,10,
4310419218,000004E4,false,Rx,0,8,02,69,85,00,24,01,00,10,
