Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6990990,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7091739,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7191735,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7291726,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7391715,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7491726,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7591719,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7691730,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7791741,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7891734,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
7991735,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8091728,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8191735,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8291736,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8391757,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8491756,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8591746,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8691736,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8791746,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8891740,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
8991740,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
9092011,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
9192001,000004E4,false,Rx,0,8,00,02,85,00,09,01,00,00,
9291990,000004E4,false,Rx,0,8,00,09,85,00,0D,03,00,00,
9391992,000004E4,false,Rx,0,8,00,0F,85,00,0E,04,00,00,
9491973,000004E4,false,Rx,0,8,00,16,85,00,0F,05,00,00,
9591974,000004E4,false,Rx,0,8,00,1D,85,00,10,06,00,00,
9691778,000004E4,false,Rx,0,8,00,0E,85,00,09,04,00,00,
9791767,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
9891761,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
9991752,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10091752,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10191753,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10291755,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10391787,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10491777,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10591767,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
10691762,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
