Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
55731581,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
55832295,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
55932287,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56032316,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56132306,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56232296,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56332296,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56432299,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56532300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56632322,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56732311,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56832300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
56932300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57032300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57132301,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57232300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57332321,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57432315,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57532299,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57632301,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57732300,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57832580,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
57932565,00000570,false,Rx,0,8,00,02,85,00,09,01,00,00,
58032565,00000570,false,Rx,0,8,00,09,85,00,0D,03,00,00,
58132555,00000570,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
58232544,00000570,false,Rx,0,8,00,16,85,00,12,06,00,00,
58332534,00000570,false,Rx,0,8,00,1D,85,00,15,07,00,00,
58432527,00000570,false,Rx,0,8,00,26,85,00,18,09,00,00,
58532525,00000570,false,Rx,0,8,00,47,85,00,18,07,00,00,
58632566,00000570,false,Rx,0,8,00,46,85,00,18,05,00,00,
58732722,00000570,false,Rx,0,8,00,45,85,00,18,04,00,00,
58832722,00000570,false,Rx,0,8,00,4C,85,00,19,03,00,00,
58932704,00000570,false,Rx,0,8,00,56,85,00,1D,02,00,00,
59032705,00000570,false,Rx,0,8,00,5F,85,00,20,01,00,00,
59132694,00000570,false,Rx,0,8,00,67,85,00,23,01,00,00,
59232685,00000570,false,Rx,0,8,00,6E,85,00,25,01,00,00,
59332737,00000570,false,Rx,0,8,00,74,85,00,27,01,00,00,
59432726,00000570,false,Rx,0,8,00,79,85,00,29,01,00,00,
59532715,00000570,false,Rx,0,8,00,7D,85,00,2B,01,00,00,
59632715,00000570,false,Rx,0,8,00,81,85,00,2D,01,00,00,
59732706,00000570,false,Rx,0,8,00,85,85,00,2E,01,00,00,
59832695,00000570,false,Rx,0,8,00,87,85,00,2F,01,00,00,
59932741,00000570,false,Rx,0,8,00,88,85,00,2F,01,00,00,
60032730,00000570,false,Rx,0,8,00,8A,85,00,30,01,00,00,
60132720,00000570,false,Rx,0,8,00,8B,85,00,30,01,00,00,
60232711,00000570,false,Rx,0,8,00,8B,85,00,30,01,00,00,
60332711,00000570,false,Rx,0,8,00,8C,85,00,31,00,00,00,
60432703,00000570,false,Rx,0,8,00,8B,85,00,30,00,00,00,
60532746,00000570,false,Rx,0,8,00,8B,85,00,30,00,00,00,
60632747,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
60732736,00000570,false,Rx,0,8,00,89,85,00,30,00,00,00,
60832726,00000570,false,Rx,0,8,00,87,85,00,2F,00,00,00,
60932709,00000570,false,Rx,0,8,00,86,85,00,2F,00,00,00,
61032715,00000570,false,Rx,0,8,00,86,85,00,2F,00,00,00,
61132704,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
61232747,00000570,false,Rx,0,8,00,84,85,00,2E,00,00,00,
61332747,00000570,false,Rx,0,8,00,84,85,00,2E,00,00,00,
61432736,00000570,false,Rx,0,8,00,84,85,00,2E,00,00,00,
61532736,00000570,false,Rx,0,8,00,83,85,00,2E,00,00,00,
61632727,00000570,false,Rx,0,8,00,82,85,00,2D,00,00,00,
61732716,00000570,false,Rx,0,8,00,81,85,00,2D,00,00,00,
61832757,00000570,false,Rx,0,8,02,7C,85,00,2B,00,00,10,
61932746,00000570,false,Rx,0,8,02,70,85,00,27,00,00,10,
62032736,00000570,false,Rx,0,8,02,63,85,00,22,00,00,10,
62132737,00000570,false,Rx,0,8,02,57,85,00,1E,00,00,10,
62232726,00000570,false,Rx,0,8,02,4B,85,00,1A,00,00,10,
62332726,00000570,false,Rx,0,8,02,40,85,00,16,00,00,10,
62432708,00000570,false,Rx,0,8,02,35,85,00,12,00,00,10,
62532359,00000570,false,Rx,0,8,02,0D,85,00,04,00,00,10,
62632346,00000570,false,Rx,0,8,02,01,85,00,00,00,00,10,
62732336,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
62832327,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
62932328,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63032326,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63132326,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63232346,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63332337,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63432329,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
63532327,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
