Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1119736513,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1119837229,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1119937243,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120037239,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120137228,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120237232,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120337229,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120437229,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120537229,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120637249,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120737250,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120837239,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1120937239,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121037239,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121137238,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121237260,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121337259,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121437249,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121537239,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121637249,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121737243,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121837518,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
1121937508,00000570,false,Rx,0,8,00,02,85,00,09,01,00,00,
1122037550,00000570,false,Rx,0,8,00,09,85,00,0D,03,00,00,
1122137498,00000570,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
1122237491,00000570,false,Rx,0,8,00,16,85,00,12,06,00,00,
1122337477,00000570,false,Rx,0,8,00,1D,85,00,15,07,00,00,
1122437466,00000570,false,Rx,0,8,00,27,85,00,18,09,00,00,
1122537512,00000570,false,Rx,0,8,00,47,85,00,18,07,00,00,
1122637508,00000570,false,Rx,0,8,00,46,85,00,18,05,00,00,
1122737666,00000570,false,Rx,0,8,00,46,85,00,18,04,00,00,
1122837653,00000570,false,Rx,0,8,00,4D,85,00,1A,03,00,00,
1122937654,00000570,false,Rx,0,8,00,57,85,00,1D,02,00,00,
1123037653,00000570,false,Rx,0,8,00,60,85,00,20,01,00,00,
1123137643,00000570,false,Rx,0,8,00,67,85,00,23,01,00,00,
1123237687,00000570,false,Rx,0,8,00,6E,85,00,25,01,00,00,
1123337674,00000570,false,Rx,0,8,00,74,85,00,27,01,00,00,
1123437674,00000570,false,Rx,0,8,00,79,85,00,29,01,00,00,
1123537663,00000570,false,Rx,0,8,00,7E,85,00,2B,01,00,00,
1123637652,00000570,false,Rx,0,8,00,81,85,00,2C,01,00,00,
1123737645,00000570,false,Rx,0,8,00,84,85,00,2D,01,00,00,
1123837695,00000570,false,Rx,0,8,00,87,85,00,2E,01,00,00,
1123937684,00000570,false,Rx,0,8,00,89,85,00,2F,01,00,00,
1124037674,00000570,false,Rx,0,8,00,8A,85,00,2F,00,00,00,
1124137674,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
1124237664,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
1124337664,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
1124437653,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
1124537698,00000570,false,Rx,0,8,00,89,85,00,2F,00,00,00,
1124637694,00000570,false,Rx,0,8,00,88,85,00,2F,00,00,00,
1124737683,00000570,false,Rx,0,8,00,87,85,00,2F,00,00,00,
1124837685,00000570,false,Rx,0,8,00,86,85,00,2E,00,00,00,
1124937674,00000570,false,Rx,0,8,00,86,85,00,2E,00,00,00,
1125037667,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
1125137705,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
1125237706,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
1125337695,00000570,false,Rx,0,8,00,84,85,00,2E,00,00,00,
1125437695,00000570,false,Rx,0,8,00,83,85,00,2D,00,00,00,
1125537684,00000570,false,Rx,0,8,00,83,85,00,2D,00,00,00,
1125637673,00000570,false,Rx,0,8,00,83,85,00,2D,00,00,00,
1125737674,00000570,false,Rx,0,8,00,82,85,00,2D,00,00,00,
1125837705,00000570,false,Rx,0,8,02,7D,85,00,2B,00,00,10,
1125937705,00000570,false,Rx,0,8,02,71,85,00,27,00,00,10,
1126037694,00000570,false,Rx,0,8,02,65,85,00,23,00,00,10,
1126137694,00000570,false,Rx,0,8,02,59,85,00,1F,00,00,10,
1126237674,00000570,false,Rx,0,8,02,4E,85,00,1B,00,00,10,
1126337674,00000570,false,Rx,0,8,02,43,85,00,17,00,00,10,
1126437715,00000570,false,Rx,0,8,02,38,85,00,13,00,00,10,
1126537315,00000570,false,Rx,0,8,02,10,85,00,04,00,00,10,
1126637301,00000570,false,Rx,0,8,02,01,85,00,00,00,00,10,
1126737291,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1126837290,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1126937291,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127037291,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127137311,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127237311,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127337301,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127437301,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127537295,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127637301,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127737322,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127837332,00000570,false,Rx,0,8,02,00,85,00,00,00,00,10,
1127937612,00000570,false,Rx,0,8,02,01,85,00,08,01,00,10,
1128037553,00000570,false,Rx,0,8,02,07,85,00,0C,03,00,10,
1128137539,00000570,false,Rx,0,8,02,0E,85,00,0F,04,00,10,
1128237529,00000570,false,Rx,0,8,02,15,85,00,11,06,00,10,
1128337529,00000570,false,Rx,0,8,02,1B,85,00,14,07,00,10,
1128437570,00000570,false,Rx,0,8,02,22,85,00,18,09,00,10,
1128537560,00000570,false,Rx,0,8,02,47,85,00,19,07,00,10,
1128637559,00000570,false,Rx,0,8,02,48,85,00,18,05,00,10,
1128737550,00000570,false,Rx,0,8,02,47,85,00,18,04,00,10,
1128837705,00000570,false,Rx,0,8,02,4C,85,00,19,03,00,10,
1128937705,00000570,false,Rx,0,8,02,57,85,00,1D,02,00,10,
1129037707,00000570,false,Rx,0,8,02,60,85,00,20,02,00,10,
1129137748,00000570,false,Rx,0,8,02,69,85,00,23,01,00,10,
1129237736,00000570,false,Rx,0,8,02,70,85,00,26,01,00,10,
1129337725,00000570,false,Rx,0,8,02,76,85,00,28,01,00,10,
1129437715,00000570,false,Rx,0,8,02,7C,85,00,2A,01,00,10,
1129537708,00000570,false,Rx,0,8,02,81,85,00,2C,01,00,10,
1129637705,00000570,false,Rx,0,8,02,85,85,00,2E,01,00,10,
1129737748,00000570,false,Rx,0,8,02,88,85,00,2F,01,00,10,
1129837739,00000570,false,Rx,0,8,02,8B,85,00,30,01,00,10,
1129937736,00000570,false,Rx,0,8,00,8D,85,00,30,01,00,00,
1130037737,00000570,false,Rx,0,8,00,8E,85,00,31,01,00,00,
1130137726,00000570,false,Rx,0,8,00,90,85,00,31,01,00,00,
1130237715,00000570,false,Rx,0,8,00,90,85,00,32,01,00,00,
1130337715,00000570,false,Rx,0,8,00,90,85,00,32,01,00,00,
1130437757,00000570,false,Rx,0,8,00,90,85,00,32,00,00,00,
1130537761,00000570,false,Rx,0,8,00,8F,85,00,31,00,00,00,
1130637748,00000570,false,Rx,0,8,00,8E,85,00,31,00,00,00,
1130737735,00000570,false,Rx,0,8,00,8D,85,00,31,00,00,00,
1130837736,00000570,false,Rx,0,8,00,8C,85,00,30,00,00,00,
1130937725,00000570,false,Rx,0,8,00,8B,85,00,30,00,00,00,
1131037715,00000570,false,Rx,0,8,00,8A,85,00,30,00,00,00,
1131137768,00000570,false,Rx,0,8,00,89,85,00,2F,00,00,00,
1131237758,00000570,false,Rx,0,8,00,88,85,00,2F,00,00,00,
1131337750,00000570,false,Rx,0,8,00,88,85,00,2F,00,00,00,
1131437748,00000570,false,Rx,0,8,00,87,85,00,2F,00,00,00,
1131537736,00000570,false,Rx,0,8,00,86,85,00,2E,00,00,00,
1131637725,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
1131737778,00000570,false,Rx,0,8,00,85,85,00,2E,00,00,00,
1131837772,00000570,false,Rx,0,8,00,84,85,00,2D,00,00,00,
1131937762,00000570,false,Rx,0,8,00,83,85,00,2D,00,00,00,
1132037763,00000570,false,Rx,0,8,00,82,85,00,2D,00,00,00,
1132137752,00000570,false,Rx,0,8,00,82,85,00,2D,00,00,00,
1132237741,00000570,false,Rx,0,8,00,82,85,00,2D,00,00,00,
1132337787,00000570,false,Rx,0,8,00,81,85,00,2D,00,00,00,
1132437784,00000570,false,Rx,0,8,00,81,85,00,2C,00,00,00,
1132537773,00000570,false,Rx,0,8,00,81,85,00,2C,00,00,00,
1132637762,00000570,false,Rx,0,8,00,81,85,00,2C,00,00,00,
1132737752,00000570,false,Rx,0,8,00,81,85,00,2C,00,00,00,
1132837753,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1132937741,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1133037794,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1133137783,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1133237773,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1133337765,00000570,false,Rx,0,8,00,80,85,00,2C,00,00,00,
1133437763,00000570,false,Rx,0,8,00,7F,85,00,2C,00,00,00,
1133537753,00000570,false,Rx,0,8,00,7F,85,00,2C,00,00,00,
1133637804,00000570,false,Rx,0,8,00,7F,85,00,2C,00,00,00,
1133737794,00000570,false,Rx,0,8,00,7E,85,00,2C,00,00,00,
1133837784,00000570,false,Rx,0,8,00,7E,85,00,2B,00,00,00,
1133937784,00000570,false,Rx,0,8,00,7D,85,00,2B,00,00,00,
1134037773,00000570,false,Rx,0,8,00,7D,85,00,2B,00,00,00,
