Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11641655,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
11755160,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
11858878,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
11967253,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12080137,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12187630,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12301149,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12422192,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12538078,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12639608,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12752611,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12860777,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
12976507,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13085660,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13174092,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13187060,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13274807,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13299545,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13374829,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13423646,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13474822,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13539203,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13574812,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13640226,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13674813,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13755746,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13774814,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13862962,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
13874814,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13974839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
13985438,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14074839,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14087873,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14174828,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14193419,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14274819,00000570,false,Rx,0,8,00,00,85,00,00,00,00,00,
14302893,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14375056,00000570,false,Rx,0,8,00,00,85,00,04,00,00,00,
14409231,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14475047,00000570,false,Rx,0,8,00,04,85,00,0B,02,00,00,
14525311,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14575047,00000570,false,Rx,0,8,00,0B,85,00,0E,04,00,00,
14626121,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14675077,00000570,false,Rx,0,8,00,12,85,00,10,05,00,00,
14732823,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14775077,00000570,false,Rx,0,8,00,19,85,00,14,07,00,00,
14841730,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
14875067,00000570,false,Rx,0,8,00,20,85,00,17,08,00,00,
14975060,00000570,false,Rx,0,8,00,38,85,00,1A,09,00,00,
14990477,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15058079,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15075052,00000570,false,Rx,0,8,00,41,85,00,1A,07,00,00,
15169401,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15175042,00000570,false,Rx,0,8,00,41,85,00,1A,06,00,00,
15275208,00000570,false,Rx,0,8,00,43,85,00,1B,05,00,00,
15284981,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15375260,00000570,false,Rx,0,8,00,4F,85,00,20,05,00,00,
15390119,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15475240,00000570,false,Rx,0,8,00,5A,85,00,25,06,00,00,
15502362,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
15575228,00000570,false,Rx,0,8,00,61,85,00,2A,07,00,00,
15608619,00000523,false,Tx,0,8,00,00,00,00,00,00,80,00,
