TimeStamp,CoolingPump,EWP-byte1,EWP-byte4,EWP-byte5,EWP-byte2
5143187.221100,0,0,0,0,133
5243918.442201,0,0,0,0,133
5344649.663301,0,0,0,0,133
5445380.884402,0,0,0,0,133
5546112.105502,0,0,0,0,133
5646843.326603,0,0,0,0,133
5747574.547703,0,0,0,0,133
5848305.768804,0,0,0,0,133
5949036.989904,0,0,0,0,133
6049768.211005,0,0,0,0,133
6150499.432105,0,0,0,0,133
6251230.653205,0,0,0,0,133
6351961.874306,0,0,0,0,133
6452693.095406,0,0,0,0,133
6553424.316507,0,0,0,0,133
6654155.537607,0,0,0,0,133
6754886.758708,0,0,0,0,133
6855617.979808,0,0,0,0,133
6956349.200909,0,0,0,0,133
7057080.422009,0,0,0,0,133
7157811.643110,0,0,0,0,133
7258542.864210,0,0,0,0,133
7359274.085310,0,0,0,0,133
7460005.306411,0,0,0,0,133
7560736.527511,0,0,0,0,133
7661467.748612,0,0,0,0,133
7762198.969712,0,0,0,0,133
7862930.190813,0,0,0,0,133
7963661.411913,0,0,0,0,133
8064392.633014,0,0,0,0,133
8165123.854114,0,0,0,0,133
8265855.075215,0,0,0,0,133
8366586.296315,0,0,0,0,133
8467317.517415,0,0,0,0,133
8568048.738516,0,0,0,0,133
8668779.959616,0,0,0,0,133
8769511.180717,0,0,0,0,133
8870242.401817,0,0,0,0,133
8970973.622918,0,0,0,0,133
9071704.844018,0,0,0,0,133
9172436.065119,0,0,0,0,133
9273167.286219,0,0,0,0,133
9373898.507320,0,0,0,0,133
9474629.728420,0,0,0,0,133
9575360.949520,0,0,0,0,133
9676092.170621,0,0,0,0,133
9776823.391721,0,0,0,0,133
9877554.612822,0,0,0,0,133
9978285.833922,0,0,0,0,133
10079017.055023,0,0,0,0,133
10179748.276123,0,0,0,0,133
10280479.497224,0,0,0,0,133
10381210.718324,0,0,0,0,133
10481941.939425,0,0,0,0,133
10582673.160525,0,0,0,0,133
10683404.381625,0,0,0,0,133
10784135.602726,0,0,0,0,133
10884866.823826,0,0,0,0,133
10985598.044927,0,0,0,0,133
11086329.266027,0,0,0,0,133
11187060.487128,0,0,0,0,133
11287791.708228,0,0,0,0,133
11388522.929329,0,0,0,0,133
11489254.150429,0,0,0,0,133
11589985.371530,0,0,0,0,133
11690716.592630,0,0,0,0,133
11791447.813730,0,0,0,0,133
11892179.034831,0,0,0,0,133
11992910.255931,0,0,0,0,133
12093641.477032,0,0,0,0,133
12194372.698132,0,0,0,0,133
12295103.919233,0,0,0,0,133
12395835.140333,0,0,0,0,133
12496566.361434,0,0,0,0,133
12597297.582534,0,0,0,0,133
12698028.803635,0,0,0,0,133
12798760.024735,0,0,0,0,133
12899491.245835,0,0,0,0,133
13000222.466936,0,0,0,0,133
13100953.688036,0,0,0,0,133
13201684.909137,0,0,0,0,133
13302416.130237,0,0,0,0,133
13403147.351338,0,0,0,0,133
13503878.572438,0,0,0,0,133
13604609.793539,0,0,0,0,133
13705341.014639,0,0,0,0,133
13806072.235740,0,0,0,0,133
13906803.456840,0,0,0,0,133
14007534.677940,0,0,0,0,133
14108265.899041,0,0,0,0,133
14208997.120141,0,0,0,0,133
14309728.341242,0,0,0,0,133
14410459.562342,0,0,0,0,133
14511190.783443,0,0,0,0,133
14611922.004543,0,0,0,0,133
14712653.225644,0,0,0,0,133
14813384.446744,0,0,0,0,133
14914115.667845,0,0,0,0,133
15014846.888945,0,0,0,0,133
15115578.110045,0,0,0,0,133
15216309.331146,0,0,0,0,133
15317040.552246,0,0,0,0,133
15417771.773347,0,0,0,0,133
15518502.994447,0,0,0,0,133
15619234.215548,0,0,0,0,133
15719965.436648,0,0,0,0,133
15820696.657749,0,0,0,0,133
15921427.878849,0,0,0,0,133
16022159.099950,0,0,0,0,133
16122890.321050,0,0,0,0,133
16223621.542150,0,0,0,0,133
16324352.763251,0,0,0,0,133
16425083.984351,0,0,0,0,133
16525815.205452,0,0,0,0,133
16626546.426552,0,0,0,0,133
16727277.647653,0,0,0,0,133
16828008.868753,0,0,0,0,133
16928740.089854,0,0,0,0,133
17029471.310954,0,0,0,0,133
17130202.532055,0,0,0,0,133
17230933.753155,0,0,0,0,133
17331664.974255,0,0,0,0,133
17432396.195356,0,0,0,0,133
17533127.416456,0,0,0,0,133
17633858.637557,0,0,0,0,133
17734589.858657,0,0,0,0,133
17835321.079758,0,0,0,0,133
17936052.300858,0,0,0,0,133
18036783.521959,0,0,0,0,133
18137514.743059,0,0,0,0,133
18238245.964160,0,0,0,0,133
18338977.185260,0,0,0,0,133
18439708.406360,0,0,0,0,133
18540439.627461,0,0,0,0,133
18641170.848561,0,0,0,0,133
18741902.069662,0,0,0,0,133
18842633.290762,0,0,0,0,133
18943364.511863,0,0,0,0,133
19044095.732963,0,0,0,0,133
19144826.954064,0,0,0,0,133
19245558.175164,0,0,0,0,133
19346289.396265,0,0,0,0,133
19447020.617365,0,0,0,0,133
19547751.838465,0,0,0,0,133
19648483.059566,0,0,0,0,133
19749214.280666,0,0,0,0,133
19849945.501767,0,0,0,0,133
19950676.722867,0,0,0,0,133
20051407.943968,0,0,0,0,133
20152139.165068,0,0,0,0,133
20252870.386169,0,0,0,0,133
20353601.607269,0,0,0,0,133
20454332.828370,0,0,0,0,133
20555064.049470,0,0,0,0,133
20655795.270570,0,0,0,0,133
20756526.491671,0,0,0,0,133
20857257.712771,0,0,0,0,133
20957988.933872,0,0,0,0,133
21058720.154972,0,0,0,0,133
21159451.376073,0,0,0,0,133
21260182.597173,0,0,0,0,133
21360913.818274,0,0,0,0,133
21461645.039374,0,0,0,0,133
21562376.260475,0,0,0,0,133
21663107.481575,0,0,0,0,133
21763838.702675,0,0,0,0,133
21864569.923776,0,0,0,0,133
21965301.144876,0,0,0,0,133
22066032.365977,0,0,0,0,133
22166763.587077,0,0,0,0,133
22267494.808178,0,0,0,0,133
22368226.029278,0,0,0,0,133
22468957.250379,0,0,0,0,133
22569688.471479,0,0,0,0,133
22670419.692580,0,0,0,0,133
22771150.913680,0,0,1.64159,0,133
22871882.134780,0,10.7561,10.2739,1.65478,133
22972613.355881,0,31.3715,20.3507,4.5052,133
23073344.576981,0,60.2634,32.9475,8.36845,133
23174075.798082,0,104.924,41.7955,9,133
23274807.019182,0,115.427,44.7137,8.14317,133
23375538.240283,0,116,45.8627,8,133
23476269.461383,0,106.431,42.5205,7.13013,133
23577000.682484,0,75.1729,31.4728,5.24547,133
23677731.903584,0,47.9986,20.2686,3.23066,133
23778463.124685,0,58.3808,20.7841,3,133
23879194.345785,0,98.6541,33.5851,3.89893,133
23979925.566885,0,122.042,44.9743,4.90676,133
24080656.787986,0,130.399,50.5709,5.91418,133
24181388.009086,0,131.921,52.8424,6.92121,133
24282119.230187,0,132.928,53,7,133
24382850.451287,0,133,53.9358,7.93578,133
24483581.672388,0,133,54,8,133
24584312.893488,0,133,54,8.9501,133
24685044.114589,0,133,54,9,133
24785775.335689,0,133.965,54,9,133
24886506.556790,0,133.028,54,9,133
24987237.777890,0,133,54,9,133
25087968.998990,0,133,54,9,133
25188700.220091,0,134,54,9,133
25289431.441191,0,134,54,9,133
25390162.662292,0,134,54,9,133
25490893.883392,0,134,54,9,133
25591625.104493,0,134,54,9,133
25692356.325593,0,133.969,54,9,133
25793087.546694,0,133.038,54,9,133
25893818.767794,0,134,54,9,133
25994549.988894,0,133.948,54,9,133
26095281.209995,0,133,54,9,133
26196012.431095,0,133,54,9,133
26296743.652196,0,133,54,9,133
26397474.873296,0,133.082,54,9,133
26498206.094397,0,134,54,9,133
26598937.315497,0,134,54,9,133
26699668.536598,0,134,54,9,133
26800399.757698,0,134,54,9,133
26901130.978799,0,134,54,9,133
27001862.199899,0,134,54,9,133
27102593.420999,0,134,54,9,133
27203324.642100,0,134,54,9,133
27304055.863200,0,134,54,9,133
27404787.084301,0,134,54,9,133
27505518.305401,0,133.838,54,9,133
27606249.526502,0,133,54,9,133
27706980.747602,0,133.177,54,9,133
27807711.968703,0,134,54,9,133
27908443.189803,0,134,54,9,133
28009174.410904,0,134,54,9,133
28109905.632004,0,134,54,9,133
28210636.853104,0,134,54,9,133
28311368.074205,0,134,54,9,133
28412099.295305,0,134,54,9,133
28512830.516406,0,134,54,9,133
28613561.737506,0,134,54,9,133
28714292.958607,0,134,54,9,133
28815024.179707,0,134,54,9,133
28915755.400808,0,134,54,9,133
29016486.621908,0,134,54,9,133
29117217.843009,0,134.279,54,9,133
29217949.064109,0,135,54,9,133
29318680.285209,0,135,54,9,133
29419411.506310,0,135,54,9,133
29520142.727410,0,134.692,54,9,133
29620873.948511,0,128.009,51.7929,8.6847,133
29721605.169611,0,102.116,42.1686,7.35582,133
29822336.390712,0,65.7657,28.0424,5.34041,133
29923067.611812,0,39.2137,16.6147,3.32293,133
30023798.832913,0,15.9809,6.86208,1.30268,133
30124530.054013,0,0.644029,0.644029,0,133
30225261.275114,0,0,0,0,133
30325992.496214,0,0,0,0,133
30426723.717314,0,0,0,0,133
30527454.938415,0,0,0,0,133
30628186.159515,0,0,0,0,133
30728917.380616,0,0,0,0,133
30829648.601716,0,0,0,0,133
30930379.822817,0,0,0,0,133
31031111.043917,0,0,0,0,133
31131842.265018,0,0,0,0,133
31232573.486118,0,0,0,0,133
31333304.707219,0,0,0,0,133
31434035.928319,0,0,0,0,133
31534767.149419,0,0,0,0,133
31635498.370520,0,0,0,0,133
31736229.591620,0,0,0,0,133
31836960.812721,0,0,0,0,133
31937692.033821,0,0,0,0,133
32038423.254922,0,0,0,0,133
32139154.476022,0,0,0,0,133
32239885.697123,0,0,0,0,133
32340616.918223,0,0,0,0,133
32441348.139324,0,0,0,0,133
32542079.360424,0,0,0,0,133
32642810.581524,0,0,0,0,133
32743541.802625,0,0,0,0,133
32844273.023725,0,0,0,0,133
32945004.244826,0,0,0,0,133
33045735.465926,0,0,0,0,133
33146466.687027,0,0,0,0,133
33247197.908127,0,0,0,0,133
33347929.129228,0,0,0,0,133
33448660.350328,0,0,0,0,133
33549391.571429,0,0,0,0,133
33650122.792529,0,0,0,0,133
33750854.013629,0,0,0,0,133
33851585.234730,0,0,0,0,133
33952316.455830,0,0,0,0,133
34053047.676931,0,0,0,0,133
34153778.898031,0,0,0,0,133
34254510.119132,0,0,0,0,133
34355241.340232,0,0,0,0,133
34455972.561333,0,0,0,0,133
34556703.782433,0,0,0,0,133
34657435.003534,0,0,0,0,133
34758166.224634,0,0,0,0,133
34858897.445734,0,0,0,0,133
34959628.666835,0,0,0,0,133
35060359.887935,0,0,0,0,133
35161091.109036,0,0,0,0,133
35261822.330136,0,0,0,0,133
35362553.551237,0,0,0,0,133
35463284.772337,0,0,0,0,133
35564015.993438,0,0,0,0,133
35664747.214538,0,0,0,0,133
35765478.435639,0,0,0,0,133
35866209.656739,0,0,0,0,133
35966940.877839,0,0,0,0,133
36067672.098940,0,0,0,0,133
36168403.320040,0,0,0,0,133
36269134.541141,0,0,0,0,133
36369865.762241,0,0,0,0,133
36470596.983342,0,0,0,0,133
36571328.204442,0,0,0,0,133
36672059.425543,0,0,0,0,133
36772790.646643,0,0,0,0,133
36873521.867744,0,0,0,0,133
36974253.088844,0,0,0,0,133
37074984.309944,0,0,0,0,133
37175715.531045,0,0,0,0,133
37276446.752145,0,0,0,0,133
37377177.973246,0,0,0,0,133
37477909.194346,0,0,0,0,133
37578640.415447,0,0,0,0,133
37679371.636547,0,0,0,0,133
37780102.857648,0,0,0,0,133
37880834.078748,0,0,0,0,133
37981565.299849,0,4.61747,8.31145,0.923495,133
