Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
88114120,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88214866,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88314865,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88414858,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88514848,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88614848,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88714851,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88814862,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
88914875,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89014865,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89114865,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89214865,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89314866,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89414869,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89514891,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89614884,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89714875,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89814876,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
89914869,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
90014880,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
90114880,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
90215195,000004E4,false,Rx,0,8,00,00,85,00,00,00,00,00,
90315133,000004E4,false,Rx,0,8,00,02,85,00,0A,01,00,00,
90415127,000004E4,false,Rx,0,8,00,09,85,00,0D,03,00,00,
90515129,000004E4,false,Rx,0,8,00,0F,85,00,0F,04,00,00,
90615109,000004E4,false,Rx,0,8,00,16,85,00,12,06,00,00,
90715099,000004E4,false,Rx,0,8,00,1D,85,00,15,08,00,00,
90815098,000004E4,false,Rx,0,8,00,28,85,00,18,09,00,00,
90915140,000004E4,false,Rx,0,8,00,48,85,00,19,07,00,00,
91015140,000004E4,false,Rx,0,8,00,46,85,00,18,05,00,00,
91115296,000004E4,false,Rx,0,8,00,46,85,00,18,04,00,00,
91215296,000004E4,false,Rx,0,8,00,4D,85,00,1A,03,00,00,
91315287,000004E4,false,Rx,0,8,00,58,85,00,1D,02,00,00,
91415277,000004E4,false,Rx,0,8,00,61,85,00,21,02,00,00,
91515331,000004E4,false,Rx,0,8,00,69,85,00,24,01,00,00,
91615321,000004E4,false,Rx,0,8,00,71,85,00,26,01,00,00,
91715321,000004E4,false,Rx,0,8,00,77,85,00,29,01,00,00,
91815310,000004E4,false,Rx,0,8,00,7C,85,00,2B,01,00,00,
91915305,000004E4,false,Rx,0,8,00,81,85,00,2D,01,00,00,
92015285,000004E4,false,Rx,0,8,00,86,85,00,2E,01,00,00,
92115340,000004E4,false,Rx,0,8,00,88,85,00,2F,01,00,00,
92215341,000004E4,false,Rx,0,8,00,8B,85,00,30,01,00,00,
92315330,000004E4,false,Rx,0,8,00,8D,85,00,31,01,00,00,
92415321,000004E4,false,Rx,0,8,00,8E,85,00,32,01,00,00,
92515321,000004E4,false,Rx,0,8,00,8F,85,00,32,01,00,00,
92615310,000004E4,false,Rx,0,8,00,90,85,00,32,01,00,00,
92715311,000004E4,false,Rx,0,8,00,8F,85,00,32,01,00,00,
92815351,000004E4,false,Rx,0,8,00,8F,85,00,32,01,00,00,
92915343,000004E4,false,Rx,0,8,00,8E,85,00,32,01,00,00,
93015342,000004E4,false,Rx,0,8,00,8D,85,00,31,01,00,00,
93115331,000004E4,false,Rx,0,8,00,8B,85,00,31,01,00,00,
93215322,000004E4,false,Rx,0,8,00,8A,85,00,30,00,00,00,
93315320,000004E4,false,Rx,0,8,00,89,85,00,30,00,00,00,
93415362,000004E4,false,Rx,0,8,00,88,85,00,30,00,00,00,
93515352,000004E4,false,Rx,0,8,00,86,85,00,2F,00,00,00,
93615352,000004E4,false,Rx,0,8,00,84,85,00,2E,00,00,00,
93715351,000004E4,false,Rx,0,8,00,82,85,00,2E,00,00,00,
93815342,000004E4,false,Rx,0,8,00,80,85,00,2D,00,00,00,
93915345,000004E4,false,Rx,0,8,00,7E,85,00,2C,00,00,00,
94015325,000004E4,false,Rx,0,8,00,7C,85,00,2B,00,00,00,
94115371,000004E4,false,Rx,0,8,00,7B,85,00,2B,00,00,00,
94215371,000004E4,false,Rx,0,8,00,7A,85,00,2B,00,00,00,
