Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10763645,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
10872418,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
10994208,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11089513,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11198968,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11303629,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11415878,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11525708,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11637690,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11764419,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11861006,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
11972013,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12071425,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12187079,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12287270,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12410539,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12511042,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12626475,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12746345,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12842478,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
12959043,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13057675,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13174710,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13274048,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13390778,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13508657,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13613696,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13715015,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13829664,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
13929829,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14050557,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14161405,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14263485,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14377774,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14527139,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14598767,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14694711,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14816194,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
14916369,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
15031245,000004DE,false,Tx,0,8,00,00,00,00,00,00,00,00,
